标题或正文,投前互动量,投后互动量,总互动量,总投放金额,综合CPE
优先女司机,35,296,282,214.54,0.76
这两天天气好经常带我的小狗去附近的公园玩，,5,108,103,200,1.94
洛阳把尊重刻在骨子里了！,3679,3732,53,25.3,0.48
出发吧 去往你想要的生活！,1359,1364,5,200,40
哈尔滨旅行状态：只哈哈 不喊累😂,1332,1339,7,179.57,25.65
一份来自陌生滴滴师傅的善意,1,32,31,200,6.45
当女性力量不再单一,19,372,780,400,0.51
坐上了一辆整洁又贴心的滴滴,4,60,56,200,3.57
滴滴🚌宝宝巴士进站咯～📢,30,58,28,200,7.14
教了三次学不会打车，换语音一次就记住了,6,7,1,200,200
🚗沉浸式下班｜你那边的天蓝么？,14,67,53,200,3.77
滴滴打车碰到最细心周到的师傅,6,137,131,200,1.53
刚搬新家，带着两只猫和一只狗,0,8,8,200,25
下沙滴滴小巴给到一个夯,28,210,182,200,1.1
下沙谁还没坐这个三块钱的商务座,5,24,19,169.69,8.93
滴滴小巴都出了吗，那是不是以后大家伙出去玩可以一辆车坐下，不用再分别打好几辆车了哈哈哈,4,8,4,200,50
她的周四，在盛开热带雨林的云南巴士、摘蘑菇,163,189,26,200,7.69
被宠物治愈的瞬间,4,144,148,236.43,1.6
滴滴打车可以打公交车啊🚌只要三块！,0,116,103,236.43,2.3
今天出门玩突然下起大暴雨，完全没带伞，我和狗狗浑身都被淋透了想赶紧打车回家，就在滴滴上叫了宠物专车。,70,136,221,210,0.95
新体验｜女性友好快车&纵向卧铺列车,2,114,117,201.7,1.72
第一次坐宠物专车，体验感太好了！！,10,118,163,202.27,1.24
含金量超高的埃及🇪🇬打车攻略,249,77,336,162.74,0.48
打到一辆很可爱的车,9,118,135,205.57,1.52
【测评】滴滴巴士测评来啦！,136,29,183,74.01,0.4
版纳限定｜雨林之心号发车🚌,5,70,67,138.46,2.07
天津空港 意外解锁网约公交🚍,0,12,15,10.89,0.73
在版纳坐了很有意思的雨林巴士,5,3,7,18.16,2.59
超绝滴滴痛车,2,110,113,201.41,1.78
今天打车遇到一位女司机，想记下来,12,125,130,200.45,1.54
下沙滴滴小巴,2,101,195,191.26,0.98
雨林之心高低去看看,1,16,17,200,11.76
被常熟的网约公交车控制了,124,215,340,405.44,1.19
滴滴这波可以啊，香薰片美貌满分,4,99,100,192.89,1.93
司机递给我一颗话梅,44,228,184,200,1.09
下雨天没带伞，女司机把车停在我头顶,191,121,2437,202.96,0.08
我去第一次打滴滴小巴,3,204,201,200,1
谢谢女司机们,7,212,205,200,0.98
她没说话,96,666,570,200,0.35
合肥打特惠/快车能打到问界m7和特斯拉,2,6,4,200,50
当春天来临，要记得出门去,34,158,124,200,1.61
下沙雨天新晋宠儿~滴滴小巴,8,24,16,200,12.5
毕业搬家带猫，第一次用宠物出行就真香了 大,0,114,114,200,1.75
女司机的车，是i人的天,18,200,182,200,1.1
今天看展路上的小确幸,0,16,16,200,12.5
打了上百次DD专车，臭车几率是？,35,95,60,200,3.33
"每次花开🌸都值得一次出发",414,575,161,200,1.24
🈚️,8,896,985,1200.64,1.22
🌸打车遇到的司机姐姐 比春天还治愈,4,27,28,82.8,2.96
现在的专车也太卷了吧！,1,201,244,396.31,1.62
女性友好,1,117,119,202.14,1.7
所有人立刻加入滴滴女性友好计划！,47,143,1915,211.14,0.11
滴滴宠物快车分享🧐,2,110,112,201.74,1.8
女司机真好啊我要坐一辈子女司机的车,104,448,546,724.69,1.33
滴滴的这个优先女司机🌸 功能 好评,3,366,370,691.37,1.87
可以选女司机了,3,99,105,189.49,1.8
来横店，滴滴司机都是NPC,5,113,115,200.23,1.74
女性友好是说走就走的保障,4,117,120,202.1,1.68
当你坐进一辆满是鲜花的滴滴,2,104,97,200.9,2.07
滴滴好香,2,113,103,201.62,1.96
美好事物会随时出现,0,112,104,203.98,1.96
想给司机师傅加鸡腿,2,107,104,203.19,1.95
100个滴滴司机的故事-你有在认真生活吗,1,4,6,10.87,1.81
女生打车刚需：优先女司机,0,112,101,199.63,1.98
不想再打到臭车？快去打开🚗女性友好模式,4,106,108,198.75,1.84
滴滴可以选女司机了！,4,119,119,204.28,1.72
这就是滴滴特快的速度！👍,2,115,110,204.36,1.86
滴滴这个AI叫车PM出来挨夸,1,109,103,203.18,1.97
感谢滴滴打车😘,2,29,26,62.54,2.41
凌晨三点，被一束温暖的光接走了🌟,4,108,119,203.41,1.71
爱死滴滴的女性友好订单了,108,94,246,173.6,0.71
昆明到大理，站点巴士超方便！,8,106,126,195.44,1.55
人生新体验：第一次带小狗喝下午茶,0,94,94,100,1.06
今夜的美好是滴滴给的,2,42,44,100,2.27
最近发现滴滴的女司机越来越多了，好事！！！,3,68,71,100,1.41
滴滴司机跟我说 你是今天最幸运的人,493,5362,5855,700,0.12
热心女司机给我寄回耳机，尸体暖暖的🥺,9,289,298,200,0.67
夸夸南宁滴滴女司机,2,410,412,300,0.73
第一次体验滴滴宠物出行～,9,247,256,100,0.39
喜乐出游日记之梧桐绿道,3,36,39,100,2.56
再也不用货拉拉拉拉布拉多🐶,3,371,374,200,0.53
来冲绳旅行 请直接用滴滴打车好吗！,88,2090,2178,700,0.32
景德镇去南昌最省钱出行方式！,101,307,408,200,0.49
Uber用不了，感谢伟大祖国滴滴让我打上了车,127,243,370,200,0.54
女生solotrip冲绳之个人主观超实用攻略🧐,151,374,525,200,0.38
