发布日期,加热渠道,一级分类,二级分类,标签,标题,投前互动量,投后互动量,投放后点赞,投放后收藏,投放后评论,投放后分享,总互动量,总投放金额,综合CPE,链接,笔记ID,备注
2026-01-04,口碑通,乘车体验,,,年龄大了就变得很性感 坐滴滴也感动,1,117,,,,,118,200,1.69,https://www.xiaohongshu.com/explore/695b1f300000000022009397?app_platform=ios&app_version=8.48&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB7hh0DDHZjUdGUXDAWzOm6Habf8wig9ip58AlEejnhJs=&author_share=1&xhsshare=CopyLink&shareRedId=Nz5IQjhKRk88SDtDP0E3SEs4Tz9HR0c6&apptime=1767580352&share_id=e6952b058e0e48c6bbdada3d44ef2460,695b1f300000000022009397,
2026-01-06,口碑通,可选女司机,,,滴滴你真的！太让人感动了！,25,5450,,,,,5475,3200,0.58,https://www.xiaohongshu.com/explore/695befa7000000002200a12a?app_platform=ios&app_version=8.48&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB7hh0DDHZjUdGUXDAWzOm6O0nGAaHWmv4Mtpzt8IPq0Q=&author_share=1&xhsshare=CopyLink&shareRedId=Nz5IQjhKRk88SDtDP0E3SEs4Tz9HR0c6&apptime=1767697430&share_id=69895452d7c1402aa28741489b3e1354,695befa7000000002200a12a,千赞
2026-01-06,口碑通,乘车体验,,,滴滴司机的浪漫,2,122,,,,,124,200,1.61,https://www.xiaohongshu.com/explore/695dbbc8000000001a031bd1?xsec_token=AB7wIGeFg7mGOW9Ojt3JptQRMN0ZW0MOIqGkfcZ_wHPIM=&xsec_source=pc_search&source=unknown,695dbbc8000000001a031bd1,
2026-01-08,口碑通,可选女司机,,,滴滴出打车，女性朋友们可以选择女司机航喽,1,1402,,,,,1403,1700,1.21,https://www.xiaohongshu.com/explore/695e0782000000000a03105b?note_flow_source=wechat&xsec_token=CBG6qfdJXY0JhmJaLiqPXszP43urj2SLTgzDCExBoLW6g=,695e0782000000000a03105b,千赞
2026-01-08,口碑通,司乘温暖,,,我爱尔滨people！,267,7800,,,,,8067,7700,0.95,https://www.xiaohongshu.com/discovery/item/695f4cb0000000001a025ff5?app_platform=ios&app_version=8.48&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBLzXmrJPIyb52DsZNwIGMyX7MPqkZb2y8qCFIQNGgC3c=&author_share=1&xhsshare=CopyLink&shareRedId=Nz5IQjhKRk88SDtDP0E3SEs4Tz9HR0c6&apptime=1767946978&share_id=ac6452d682c247b88094fff64c731fee,695f4cb0000000001a025ff5,千赞
2026-01-11,口碑通,公交,,,杨柳青古镇网约公交上线，随叫随到🎉,114,42,,,,,156,200,1.28,https://www.xiaohongshu.com/explore/69605ef2000000000d009701?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBd2g4E068EALNqJzCMqQAcrcPuzThi6eYaXUbBqdftJ8=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768207583&share_id=1f2b0396012f470e8d8b7144db6ecd2f,69605ef2000000000d009701,
2026-01-11,口碑通,公交,,,杨柳青网约公交车🚌上线,3,42,,,,,45,200,4.44,https://www.xiaohongshu.com/explore/69609d94000000000e00ce93?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBd2g4E068EALNqJzCMqQAckf5R3f7tOCN5fJ-nAmWkkQ=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768207725&share_id=f2ef77e8b9d44a369fdaed2fc47adb19,69609d94000000000e00ce93,
2026-01-11,口碑通,公交,,,杨柳青也是好起来了,2,1920,,,,,1922,3700,1.93,https://www.xiaohongshu.com/explore/6963b54f000000001a036c98?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBjlcDKL7RTnfRjZ3NA0Q77nQZkN3W4L4FoiEk9ViMYX0=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768207830&share_id=4eeea73a0aa64be38d50e850a1e6393f,6963b54f000000001a036c98,千赞
2026-01-12,口碑通,乘车体验,,,好可爱的滴滴司机,1,1380,,,,,1381,1700,1.23,https://www.xiaohongshu.com/explore/6965b816000000000e03c97c?app_platform=ios&app_version=8.48&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBG9Ax4k19OQ5gZj8ejX2r1EFNeeId6W3gPvaoeTM9A54=&author_share=1&xhsshare=CopyLink&shareRedId=Nz5IQjhKRk88SDtDP0E3SEs4Tz9HR0c6&apptime=1768281018&share_id=5480b5bd437c4232897aed8ec5f3189f,6965b816000000000e03c97c,千赞
2026-01-12,口碑通,可选女司机,,,滴滴优先女司机！,1,9038,,,,,9039,8200,0.91,https://www.xiaohongshu.com/explore/6964fba8000000000903b1cb?xsec_token=ABRm7MWF_z6TPJSasDNcahCgIbk9o2v0WL-G9oe0hT5kI=&xsec_source=pc_search&source=unknown,6964fba8000000000903b1cb,千赞
2026-01-12,口碑通,宠物出行,,,耶耶体验官报到！,22,330,,,,,352,200,0.57,https://www.xiaohongshu.com/explore/696491e5000000001a02f3dc?xsec_token=ABRm7MWF_z6TPJSasDNcahCruwgOxjRVXOnAZvMpB3i4k=&xsec_source=pc_search&source=unknown,696491e5000000001a02f3dc,拒审
2026-01-12,口碑通,可选女司机,,,滴滴女性友好订单,5,12683,,,,,12688,8200,0.65,https://www.xiaohongshu.com/explore/6964fcf7000000000e00c0c5?xsec_token=ABRm7MWF_z6TPJSasDNcahCrfpKkYtSsUT2Cilcxkk9d0=&xsec_source=pc_search&source=unknown,6964fcf7000000000e00c0c5,万赞
2026-01-12,口碑通,可选女司机,,,女性友好，女性团结！,1674,180,,,,,1854,165,0.09,https://www.xiaohongshu.com/explore/69612ed2000000000a030070?note_flow_source=wechat&xsec_token=CBQf1ZVXP1jnxxqGiMpX6cH4ZakdFZ2uBo4LvTjyBL4B0=,69612ed2000000000a030070,
2026-01-12,口碑通,乘车体验,,,滴滴打到女司机的车有感,6,9835,,,,,9841,8700,0.88,https://www.xiaohongshu.com/explore/6965ea00000000001a027985?xsec_token=ABhj-J7kfrozTlvTUPI2vfxkufVbEiU27etAnORGV7KVs=&xsec_source=pc_feed,6965ea00000000001a027985,千赞
2026-01-12,口碑通,公交,,,网约公交车坐上啦，好玩好玩😘,4,74,,,,,78,200,2.56,https://www.xiaohongshu.com/explore/6965a346000000001a023c08?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBsUFowIQWN23ilvtQQTlxbtL4-N9Q8bSGqgrZl2DVAog=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768290224&share_id=ab7c95e689a8476c8ca538de69959810,6965a346000000001a023c08,
2026-01-12,口碑通,公交,,,天津空港网约公交体验,0,121,,,,,121,200,1.65,https://www.xiaohongshu.com/explore/6964b584000000001a0205e5?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB5FJ0ZenalcxXz60wsylSA13xmhmGBWU6NP9aw0fNPsM=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768290311&share_id=6b4b901ebe1e4c7fa8370513e5fcbb8c,6964b584000000001a0205e5,
2026-01-12,口碑通,公交,,,南昌网约车即将被取代,7,75,,,,,82,200,2.44,https://www.xiaohongshu.com/explore/695f87220000000022009274?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=video&xsec_token=CBi141WvBzY0hkAGR3HXv2grds27aaFrlEA1HAOhBAazM=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768291952&share_id=b9e9bab3adeb489fb6352318011779f1,695f87220000000022009274,
2026-01-13,口碑通,可选女司机,,,谁懂打到女司机香香车的救赎感？,3,136,,,,,139,200,1.44,https://www.xiaohongshu.com/explore/696649390000000022033297?xsec_token=ABldMmJ9slrHgO6tVhnJBBsA8-UomGH3mrYdn1a6I5DBU=&xsec_source=pc_search&source=unknown,696649390000000022033297,
2026-01-13,口碑通,可选女司机,,,滴滴支持呼叫女司机啦！！,0,125,,,,,125,200,1.6,https://www.xiaohongshu.com/explore/69660537000000000a02eace?xsec_token=ABldMmJ9slrHgO6tVhnJBBsE5BlVYNMuo2oknujA57MPM=&xsec_source=pc_search&source=unknown,69660537000000000a02eace,
2026-01-13,口碑通,乘车体验,,,打到这样的滴,3,10161,,,,,10164,9700,0.95,https://www.xiaohongshu.com/explore/69673363000000000a02db51?xsec_token=AB4uQXQMtNu4NAMlGt4YNdQ6L4AJFjrJa8PdKStC24cIY=&xsec_source=pc_feed,69673363000000000a02db51,万赞
2026-01-13,口碑通,公交,,,蛤？🤨有人坐过网约公交吗？,5,42,,,,,47,200,4.26,https://www.xiaohongshu.com/explore/6966e4c4000000000a02ed9d?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBn1B8GYR4Qfb-pPYJGOVvWwcJdWzKG3dRdDfZ_4Ij1iY=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768364070&share_id=cfde6fba5892411daf78fdee7b80197f,6966e4c4000000000a02ed9d,
2026-01-14,口碑通,可选女司机,,,滴滴女性友好打车,1,12457,,,,,12458,10700,0.86,https://www.xiaohongshu.com/explore/696845f5000000000a03e667?xsec_token=ABE1OwAL6LyUm3Hsg_F8ZsibpPgviGEheCl6Co-e0HjLc=&xsec_source=pc_search&source=unknown,696845f5000000000a03e667,万赞
2026-01-14,口碑通,公交,,,网约公交车都出来了吗😂,4,2444,,,,,2448,2700,1.1,https://www.xiaohongshu.com/explore/6968a124000000000b00902f?source=webshare&xhsshare=pc_web&xsec_token=ABzqj2vCEPChySiIo-A4R1-6l0Fn3ZnduJXUlic24FynE=&xsec_source=pc_share,6968a124000000000b00902f,千赞
2026-01-20,口碑通,可选女司机,,,当我在滴滴上勾选了“女性安全”出行后...,47,4012,,,,,4059,6200,1.53,https://www.xiaohongshu.com/explore/697027ac0000000009038a58?app_platform=ios&app_version=9.17.2&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBBOiBH5XVHSa6qJKI5kIvN477j8wjhS-dQJgl3Gn7q8Y=&author_share=1&xhsshare=WeixinSession&shareRedId=Nz0yMUhJRT83SjU5TU4zTDc0QTw0Rkc9&apptime=1768963129&share_id=eeba3e75c63e4f5a962e1981bf9e59cc,697027ac0000000009038a58,千赞
