发布日期,投放截止,状态,进展,作者昵称,标题,链接,笔记ID,一级分类,二级分类,投放记录,投前互动量,投后互动量,投放后点赞量,投放后收藏量,投放后评论量,总互动量,总投放金额,总CPE,备注
,,已停,1.5投200,,年龄大了就变得很性感 坐滴滴也感动,https://www.xiaohongshu.com/explore/695b1f300000000022009397?app_platform=ios&app_version=8.48&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB7hh0DDHZjUdGUXDAWzOm6Habf8wig9ip58AlEejnhJs=&author_share=1&xhsshare=CopyLink&shareRedId=Nz5IQjhKRk88SDtDP0E3SEs4Tz9HR0c6&apptime=1767580352&share_id=e6952b058e0e48c6bbdada3d44ef2460,,乘车体验,,,1,117,,,,118,200,1.69,
,,已停,"1.7投200
1.8追1000
1.9追2000",,滴滴你真的！太让人感动了！,https://www.xiaohongshu.com/explore/695befa7000000002200a12a?app_platform=ios&app_version=8.48&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB7hh0DDHZjUdGUXDAWzOm6O0nGAaHWmv4Mtpzt8IPq0Q=&author_share=1&xhsshare=CopyLink&shareRedId=Nz5IQjhKRk88SDtDP0E3SEs4Tz9HR0c6&apptime=1767697430&share_id=69895452d7c1402aa28741489b3e1354,,可选女司机,,,25,5450,,,,5475,3200,0.58,千赞
,,已停,1.7投200,,滴滴司机的浪漫,https://www.xiaohongshu.com/explore/695dbbc8000000001a031bd1?xsec_token=AB7wIGeFg7mGOW9Ojt3JptQRMN0ZW0MOIqGkfcZ_wHPIM=&xsec_source=pc_search&source=unknown,,乘车体验,,,2,122,,,,124,200,1.61,
,,已停,"1.9投200
1.12追500
1.13追1000",,滴滴出打车，女性朋友们可以选择女司机航喽,https://www.xiaohongshu.com/explore/695e0782000000000a03105b?note_flow_source=wechat&xsec_token=CBG6qfdJXY0JhmJaLiqPXszP43urj2SLTgzDCExBoLW6g=,,可选女司机,,,1,1402,,,,1403,1700,1.21,千赞
,,已停,"1.9投200
1.12追500
1.13追2000
1.14追5000",,我爱尔滨people！,https://www.xiaohongshu.com/discovery/item/695f4cb0000000001a025ff5?app_platform=ios&app_version=8.48&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBLzXmrJPIyb52DsZNwIGMyX7MPqkZb2y8qCFIQNGgC3c=&author_share=1&xhsshare=CopyLink&shareRedId=Nz5IQjhKRk88SDtDP0E3SEs4Tz9HR0c6&apptime=1767946978&share_id=ac6452d682c247b88094fff64c731fee,,司乘温暖,,,267,7800,,,,8067,7700,0.95,千赞
,,已停,1.12投200,,杨柳青古镇网约公交上线，随叫随到🎉,https://www.xiaohongshu.com/explore/69605ef2000000000d009701?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBd2g4E068EALNqJzCMqQAcrcPuzThi6eYaXUbBqdftJ8=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768207583&share_id=1f2b0396012f470e8d8b7144db6ecd2f,,公交,,,114,42,,,,156,200,1.28,
,,已停,1.12投200,,杨柳青网约公交车🚌上线,https://www.xiaohongshu.com/explore/69609d94000000000e00ce93?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBd2g4E068EALNqJzCMqQAckf5R3f7tOCN5fJ-nAmWkkQ=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768207725&share_id=f2ef77e8b9d44a369fdaed2fc47adb19,,公交,,,3,42,,,,45,200,4.44,
,,已停,"1.12投200
1.13追500
1.14追1000
1.15追2000",,杨柳青也是好起来了,https://www.xiaohongshu.com/explore/6963b54f000000001a036c98?app_platform=ios&app_version=8.97&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBjlcDKL7RTnfRjZ3NA0Q77nQZkN3W4L4FoiEk9ViMYX0=&author_share=1&xhsshare=CopyLink&shareRedId=ODo5RjNGRj42NzUyOTgwNjhFOTdFNz08&apptime=1768207830&share_id=4eeea73a0aa64be38d50e850a1e6393f,,公交,,,2,1920,,,,1922,3700,1.93,千赞
,,已停,"1.13投200
1.14追500
1.15追1000",,好可爱的滴滴司机,https://www.xiaohongshu.com/explore/6965b816000000000e03c97c?app_platform=ios&app_version=8.48&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBG9Ax4k19OQ5gZj8ejX2r1EFNeeId6W3gPvaoeTM9A54=&author_share=1&xhsshare=CopyLink&shareRedId=Nz5IQjhKRk88SDtDP0E3SEs4Tz9HR0c6&apptime=1768281018&share_id=5480b5bd437c4232897aed8ec5f3189f,,乘车体验,,,1,1380,,,,1381,1700,1.23,千赞
,,已停,"1.13投200
1.14追1000
1.15追2000
1.16追5000",,滴滴优先女司机！,https://www.xiaohongshu.com/explore/6964fba8000000000903b1cb?xsec_token=ABRm7MWF_z6TPJSasDNcahCgIbk9o2v0WL-G9oe0hT5kI=&xsec_source=pc_search&source=unknown,,可选女司机,,,1,9038,,,,9039,8200,0.91,千赞
