笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
6a31db970000000011006c7c,Elara,https://www.xiaohongshu.com/search_result/6a31db970000000011006c7c?xsec_token=ABzo91c7VIfdppP7FCZM7bRLIQzQ6aD_mklChpcEwFCIQ=&xsec_source=,避雷滴滴平台 太过分了！！！,"预约的顺风车 我选的独享 坐上车之后发现车上还有两人 其实这种情况已经比较普遍了 司机想多赚点钱我也没说啥了 但是走到一半司机告知我需要支付全部的高速费60元 我提出明明载了3位乘客为什么我要支付全部费用 我只能接受三人平摊 司机说让我找平台沟通 并给我看了他在同一个平台也就是滴滴 同时接的三单
那我就很奇怪了 我选的是独享 为什么司机还能在这个平台上接其他乘客的单 后面仔细看发现订单备注上有司机会有亲友同行 才反应过来原来平台是打了这个信息差 让你以为其他乘客是司机的亲友实则不然 都是司机接的乘客
立马和平台沟通 发现平台一直在推脱 全是官方话语也不解决问题 最后司机说如果我不支付全部高速费60元 他就停在服务区不走了 由于我要去赶飞机 还是支付给他60了
请你们官方给我一个合理的答复！！！ @滴滴出行客服 @滴滴美好出发 @滴滴顺风车  #网约车[话题]# #顺风车[话题]# #消费者维护权益[话题]# #滴滴出行[话题]#",13,1,5,2,2026-06-17 07:26:15
6a31f1550000000022017edd,程咬金在浇水,https://www.xiaohongshu.com/search_result/6a31f1550000000022017edd?xsec_token=ABzo91c7VIfdppP7FCZM7bROqokpR9acmKp39yRCwzgrk=&xsec_source=,滴滴打车平台自动路线选择,没想到自动选的是一条最贵的而且最慢的,,,2,1,2026-06-17 08:59:01
6a311f2f0000000021018070,弃笔从耕养猪致富的kiki,https://www.xiaohongshu.com/search_result/6a311f2f0000000021018070?xsec_token=ABzo91c7VIfdppP7FCZM7bRO5JQ2ARgg9gVNzhHXlRc7A=&xsec_source=,我将永远拥护滴滴女司机！,北京晚高峰的阴雨天打到又香又粉的可爱车含金量，上车瞬间心情都明亮了。交谈中发现司机姐姐还救助了十五只流浪的小狗，我们俩可能还在同城救助站见过面，感叹奇妙的缘分！今天让我打到这辆车的瞬间我将原谅全世界.˚₊‧꒰ა𛰙᭜𖫴𖫰𖫱𖫳𖫲𖫲𖫳𖫴𖫰𖫱꛰ᩝ︪᭜𖫴𖫰𖫱𖫳𖫲𖫲𖫳𖫴𖫰𖫱꛰ᩝ𛰚໒꒱ ‧₊꙳,6,1,,1,2026-06-16 18:02:23
6a30ce14000000001101775c,YuAAi,https://www.xiaohongshu.com/search_result/6a30ce14000000001101775c?xsec_token=ABHjxo2n_Xyv2atf9j6gRRU8tZFrdOqghKE_fAjIkXXD8=&xsec_source=,滴滴优先女司机真的太难打了……,"去年开始用这个功能，刚开始时一切都很顺利，基本上很快就能打到，之后把等待时间从90秒调成了30秒就很难用了，现在更是离谱，基本上半个小时都打不到一辆女司机的车，明明时间地点都是一样的，就是完全打不到，就是因为有这个功能才经常用滴滴的，结果越来越杀熟，其他打车平台什么时候开发这个功能立马不用滴滴了
@滴滴 @滴滴出行
#滴滴[话题]# #滴滴出行[话题]# #滴滴女司机[话题]# #滴滴她计划[话题]# #吐槽[话题]#",1,,19,,2026-06-16 12:16:20
6a31f233000000001c024213,代代的日常,https://www.xiaohongshu.com/search_result/6a31f233000000001c024213?xsec_token=ABzo91c7VIfdppP7FCZM7bRB-C_hoyhQJneuTSEOzKEQ8=&xsec_source=,滴滴打车选车型,因外出需要一个suv的车型，装一个大行李箱，发现滴滴有这个ai打车功能，试用下来效果很好，打到了！！,,,,,2026-06-17 09:02:43
6a30f7de000000001603eda0,Soojoo,https://www.xiaohongshu.com/search_result/6a30f7de000000001603eda0?xsec_token=ABHjxo2n_Xyv2atf9j6gRRU6XKH-3GQTGJhLVCJ5-8Btc=&xsec_source=,滴滴打车不给开发票冷处理,"6月5日晚上打的车，滴滴平台自动勾选了出租车这个选项，可能该软件是基于当时加完班时间比较晚，附近叫车难的情况。本人之前从未主动添加过出租车。
好，此刻我还浑然不知一场闹剧的开始[汗颜R]。在等车时、上车落座后，不论是滴滴平台或是语音播报均未提醒消费者向司机询问纸质发票，并且出租车车上无打表器，问司机说是此单是特惠单发票要线上开。
5号当晚订单结束付款后我在线上开发票，发现根本不让开票。联系客服，让填链接写问卷；召唤人工，依然打太极，说1-5个工作日会处理，还欺骗消费者后续会补发发票。我心存疑惑，想着第二天打个电话再问一下吧，这一问可好，人工电话客服小哥哥说滴滴这边全程负责去找出租车公司要纸质发票，并且平台会承担邮寄发票的运费——说得有鼻子有眼的，把人骗的团团转，我对滴滴的信任就这样喂了狗。
我如实跟主管说了，主管先给垫付了，让我过两天来补发票。这一晃10天过去了，等不起了，我又再次找人工客服，说你们这处理超时了。这才“通知”我这票根本没法开，给出的处理方法就是补偿一张“仅限出租车使用”的20块的券。
我这下彻底被激怒了，滴滴平台居然不开具在你平台上支付的账单发票？？？还踢皮球给出租车公司，这单派的就是一口价平台单，司机也说去线上下载发票，消费者在平台付了钱，两端互相推诿，没有一方给个痛快话。最可恨的是还欺骗消费者，把战线拖长冷处理，如果消费者忘了这茬，滴滴是不是就算拍屁股走人了？？给20块的出租车消费券，在这恶心谁呢？好比点外卖在你家吃出虫子你给一张仅限你家使用的5r代金券，吃相不要太难看吧！
#发票[话题]# #滴滴[话题]# #滴滴出行[话题]# #消费者权益[话题]# #维护权益[话题]# @滴滴出行客服",4,,2,1,2026-06-16 15:14:38
6a31fd51000000001c027319,泰勒是我姐,https://www.xiaohongshu.com/search_result/6a31fd51000000001c027319?xsec_token=ABzo91c7VIfdppP7FCZM7bRENqKWSgEUtYnc6MGSVEN9s=&xsec_source=,滴滴打车拼单，滴滴拼团套餐有没有人,,,,2,,2026-06-17 09:50:09
6a31fb300000000022019bbd,嘎巴嘎巴,https://www.xiaohongshu.com/search_result/6a31fb300000000022019bbd?xsec_token=ABzo91c7VIfdppP7FCZM7bRNBcYH1jJmCuBjbSLSUrMFA=&xsec_source=,出差路上打了滴滴打车，师傅竟然,"外放小说，公公和儿媳妇谈起了恋爱
哎，[扶墙R][扶墙R]
就不能带个耳机吗，你想听，顾客不想听啊
还没跟客户汇报呢，耳朵里充斥着这些不堪入目的声音[汗颜R][汗颜R]
哎[尬住R][尬住R]",,,,,2026-06-17 09:41:04
6a30b9a80000000011010f99,久哥沪漂生活,https://www.xiaohongshu.com/search_result/6a30b9a80000000011010f99?xsec_token=ABHjxo2n_Xyv2atf9j6gRRU4DnK4qm2TAcizE1OYzdVzw=&xsec_source=,滴滴打车真的是气死人！,"你们打车有遇到同样的情况吗
不加钱不给你派车
真的是气死人啊
生活真的是太难了
一把年纪还要淋雨回家
[失望R][失望R][失望R][失望R][失望R][失望R][失望R]#太难了[话题]# #吐槽[话题]# #滴滴[话题]# #滴滴打车[话题]# #沪漂[话题]# #沪漂日常[话题]# #沪漂女孩[话题]# #落汤鸡[话题]# #打车[话题]#",1,,,,2026-06-16 10:49:12
6a3168e4000000001702ec38,⛷-高兴-⛷（yx）,https://www.xiaohongshu.com/search_result/6a3168e4000000001702ec38?xsec_token=ABzo91c7VIfdppP7FCZM7bRIiXBSEHNNBUGl9Zmm0fd6o=&xsec_source=,献血遇到极品司机,#滴滴打车[话题]# 你这个客服还得排队，又不能发视频那我@滴滴打车,5,,7,1,2026-06-16 23:16:52
