笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
6a321d96000000001101a4e6,悦己者,https://www.xiaohongshu.com/search_result/6a321d96000000001101a4e6?xsec_token=ABNV3U1l6kOI0X3OTrYVszJOsYz-A3_6rbh2P9SxDdT7w=&xsec_source=,,自己在平台上绑定了两辆汽车，然后呢，我是通过常用路线订单接的单，这个设置常用路线的时候呢，个人是没法设置车牌的，都是它系统默认的，然后现在问题来了，他判定我为注册车牌和合乘车辆不一致，给我出了警告了呀，严重他要注销账号#顺风车[话题]# #司机[话题]# #安全出行[话题]# 哈啰 高德 滴滴,,,1,,2026-06-17 12:07:50
6a328f42000000002200a217,yan yan,https://www.xiaohongshu.com/search_result/6a328f42000000002200a217?xsec_token=ABNV3U1l6kOI0X3OTrYVszJKITeJWV3V0Gbi6HwSZMxZg=&xsec_source=,有人解释一下滴滴打车是怎么了吗,莫名其妙放一个音乐留我一个人笑的肚子痛#网约车[话题]# #滴滴出行[话题]# #日常[话题]# #猎奇[话题]#,13,1,3,9,2026-06-17 20:12:50
6a334c620000000006035cf0,睡觉吧睡觉吧,https://www.xiaohongshu.com/search_result/6a334c620000000006035cf0?xsec_token=AB3oib7tH48MvQDiWXZFlvVVoCHq0SrzemzT-H__B6Dw8=&xsec_source=,上大学打车依然要报备车牌号,"每次自己出门，不管是面试还是回学校还是出去玩，我爸都会问我要打车的车牌号，然后我就把自己的打车行程分享给他。最近一直用滴滴优先匹配女司机，比如晚上和同学吃饭晚了点，或者实习下班回学校碰上下雨天，我都用这个功能。
我跟我爸说我现在打车都优先匹配女司机，他似乎放心了点，但还是会找我要车牌号和行程分享。也不知等我再长大几岁我爸爸才能完全放心我一个人打车。
#女司机[话题]# #出租车[话题]# #大学生出行[话题]# #大学生实习[话题]# #互联网大厂[话题]# #我的实习生活[话题]# #遵守交规安全出行[话题]# #关于我打车被司机种草这件事[话题]# #通勤上下班[话题]# #实习生[话题]#",2,2,,1,2026-06-18 09:39:46
6a3276540000000007023d97,阿树的树洞,https://www.xiaohongshu.com/search_result/6a3276540000000007023d97?xsec_token=ABNV3U1l6kOI0X3OTrYVszJOS3ZfnH4P7iyJ4OH7ZFjTw=&xsec_source=,南京滴滴网约车后续，谢谢网友,#滴滴[话题]# #南京网约车[话题]# #南京发布[话题]# #南京12345[话题]# #南京旅游[话题]#,173,8,79,16,2026-06-17 18:26:28
6a3107a5000000001503f1c8,爱吃小肌鱼,https://www.xiaohongshu.com/search_result/6a3107a5000000001503f1c8?xsec_token=ABzo91c7VIfdppP7FCZM7bRGJwWAcCiHT7eNp6Mvksew4=&xsec_source=,拔完智齿打车，被女司机的细节狠狠暖到了,"下午拔了颗智齿，阻生齿，锤子凿了快四十分钟才弄出来。出来的时候左边脸肿得像个包子。
	
麻药还没完全退，整个左边下巴都是木的。站在牙科诊所门口等车，六月的太阳晒得人发晕。
	
叫了滴滴。设置里的""她计划""一直开着，给我匹配了位女司机。上车的时候我捂着脸，含糊地说了句""谢谢""。
	
她看了我一眼后视镜——然后什么都没问，伸手把副驾那边的空调出风口掰向了另一边。
	
可能看出来我捂着腮帮子怕冷。
	
这个动作太小了，小到如果我没注意根本不会发现。但那一刻鼻子真的有点酸。不是拔牙疼，是被人无声地顾到了。
	
车里干净安静。她开车很稳，路不怎么平的地方会提前减速。我靠着座位闭眼，能感觉到每一次转弯都是慢慢转过去的。
	
快到的时候她说了句：""回去记得冰敷，别喝热水。""
	
我说好。到家之后脸还是肿的，但心情是好的。
	
有时候不是多大的事让人感动，是那种你难受的时候有人懂、但不追问的体贴。
#碎碎念[话题]# #开车[话题]# #牙齿[话题]# #交通安全[话题]# #分享[话题]# #看病[话题]# #温暖[话题]# #女司机[话题]#",22,,1,,2026-06-17 17:22:01
6a320a71000000000e038400,iSaskue,https://www.xiaohongshu.com/search_result/6a320a71000000000e038400?xsec_token=ABNV3U1l6kOI0X3OTrYVszJAOs2xqXeJVTx1vcDLTRfQ4=&xsec_source=,滴滴一家独大🤫🤫,"事情是这样的：
6.5凌晨落地西安使用滴滴打车，勾选了超值出租车+特惠快车，预估价格100左右，超值出租车接单
到达后滴滴显示车费136.8+过路费6，过路费没问题，但超值出租车是一口价，和结算价差这么多，然后我就问滴滴客服原因，简要的问答如下：
	
【第一段对话】
我：超值出租车是一口价吗？
滴滴：是的
我：那为啥我这个结算价和一口价差这么多？
滴滴：您上车有指定路线之类的吗？
我：没有的，就是按照推荐的导航路线走的
滴滴：稍等我查看一下
滴滴：您勾选了特惠快车和超值出租车，系统又推荐了出租车等车型，所以价格是按照打表计价的
我：我是没有勾选的，而且我打到的车就是超值出租车
滴滴：需要授权车内录音，48小时内会有专员跟您联系
	
【第二段对话】
滴滴：针对您反馈的司机加价的问题，我们已经对司机会进行培训、并密切关注
我：我不是想问司机加价的问题，我是想问我消费前显示一口价，为什么消费后你们系统是另一个价格
滴滴：您认可6元的高速过路费吗？
我：我的问题一直不是这6元的过路费，而是消费前系统显示一口价、消费后系统显示打表价，为什么计价规格会变
滴滴：我们只是提供打车撮合服务，我们不提供运输服务
我：我问的就是你们系统处理机制，为什么一口价会变成打表价
滴滴：我们核实后48小时内回电，订单已锁定
然后我想着司机师傅大半夜接单也不容易，想着支付了再说，结果支付时发现订单已锁定、无法支付。
但是第二天滴滴系统给我自动扣款（因为我之前设置过免密支付，但是这种存在争议的金额、并且滴滴已经锁定订单了，还能通过免密支付划走我的钱）
	
隔天默默的来了个短信（见最后一个截图）
	
【第三段对话-语音客服】
我：我反馈的问题为什么没有人联系我呢？
滴滴：您反馈的是司机在车费中加了6元过路费的问题吗？
我：我反馈的是什么问题你们都不知道？然后让我等了48小时又48小时的？
滴滴：您说一下需要反馈的问题，我记录一下，48小时内给您反馈
我：（又把我的诉求说了一遍）
	
然后截至发稿、还没有滴滴客服联系我[doge][doge]，估计人家钱已经到口袋了，也就懒得管了，毕竟整个行业滴滴一家独大，压榨司机这块儿就不说了，对消费者也是搪塞了事，转个人工都得喊好几次转人工才行，唉…人家想干啥就干啥吧
	
#滴滴出行[话题]# #谁来管一管[话题]# #消费者权益[话题]##误导消费者[话题]#
@滴滴美好出发 @滴滴",1,,6,1,2026-06-17 10:46:09
6a328d05000000000702fdb8,猫多多铲屎官,https://www.xiaohongshu.com/search_result/6a328d05000000000702fdb8?xsec_token=ABNV3U1l6kOI0X3OTrYVszJOQZ167dnFMhdpOq0trVZoo=&xsec_source=,滴滴陪诊新人实训日记｜泡在医院学习的充实,"本身有护士底子，今天正式跟着团队线下实操学习，沉浸式熟悉杭州各大医院科室、挂号流程、就诊动线
从提前规划就诊路线、陪同问诊、取单缴费到术后叮嘱全流程吃透
原来专业陪诊不只是跑腿，更是给异地看病、独自就医的人满满的安全感
全程干货满满，收获直接拉满，已经迫不及待上岗服务大家啦
冲冲冲，正式加入滴滴陪诊大家庭！#滴滴陪诊[话题]# #陪诊师[话题]# #陪诊师日常[话题]#",6,5,6,4,2026-06-17 20:03:17
6a32b7f90000000021021f43,TWOTWO,https://www.xiaohongshu.com/search_result/6a32b7f90000000021021f43?xsec_token=ABNV3U1l6kOI0X3OTrYVszJNU1wdfwdte2iP6mULg7QuA=&xsec_source=,滴滴打车选女司机实际男司机,"本来就是为了图个心安晚上打车选女司机
结果来了之后是个大哥
而且头像就是女司机的专属头像
因为这是个首汽约车第三方的订单
现在滴滴和这个第三方都说自己处理不了😅",330,5,13,9,2026-06-17 23:06:34
6a32eaa80000000007028c53,Mr One,https://www.xiaohongshu.com/search_result/6a32eaa80000000007028c53?xsec_token=ABNV3U1l6kOI0X3OTrYVszJMQfKb-ibouPkTBq0iEt_vI=&xsec_source=,这个时代就像一张被严重拉开的K线图,"深夜落地杭州，坐上滴滴，和司机聊了一路。
他没有抱怨太多，但每句话都像被生活磨过一遍。平台抽成、算法陷阱，订单变少、时间越来越长，收入却越来越薄。每天都有眼睛一闭就再也睁不开了。
	
那一刻我突然觉得，这个时代就像一张被严重拉开的K线图。
	
站在上方的人，依然在讲增长、转型、周期和未来，讲产业升级，讲资源重新配置，讲所有困难都只是阶段性的阵痛。可他们一边讲着宏大叙事，一边减持、套现、离场，把账面上的繁荣兑换成真实的生活。
	
而站在K线下方的人，没有那么多关于未来的词汇。他们面对的是房租、油费、工资、债务、订单减少和越来越不确定的明天。
	
最让我失望的，不只是有人过得艰难，也不是社会存在差距。
	
真正令人失望的是，承受代价的人，往往没有表达的资格；几乎不需要承担代价的人，却总在定义什么叫“大局”，什么叫“阵痛”，什么叫“再坚持一下”。
	
他们谈的是趋势，普通人过的是日子。
	
他们说要相信未来，可很多人正在一点点失去今天。
我知道社会从来不会绝对公平，但当财富越来越集中，痛苦越来越下沉，宏大叙事往往从高处开始，代价却总由低处的人承担。
	
贫富分化不可怕，可怕的是相应的责任也在分化，财富的安全套现和个人的全身而退已成为绝大多数富人的主旋律，而本应该承担的责任，已经跟他们没有关系了",5,1,,,2026-06-18 02:42:48
6a3286dd000000001603eafa,上新铲屎官,https://www.xiaohongshu.com/search_result/6a3286dd000000001603eafa?xsec_token=ABNV3U1l6kOI0X3OTrYVszJLYMW5tTCTEK_BOsmkRw5Tg=&xsec_source=,遇见急脾气的，还不会反击,"第一件，去一个商场，找了一圈车位，后边还跟着一起找车位的几辆车，我是拐弯进停车厂门口，减速了问问保安里边有没有车位，后边直行过来的一辆奥迪大哥直接开骂，具体没太听清，好像是让我走，别停，估计是耽误他时间了。
第二件，路口右转准备进主路，主路绿灯，直行的车一辆接一辆，等了一会，找不到机会并过去，后车滴滴。其实我后边跟了好几辆，我是第一辆，压力很大，那也没辙。技术不好，安全为主，没办法只能等一会了。但是后车很着急。挺让人生气的。那我不能飞过去吧！
两个视角，作为前车或者后车，你们遇到过类似情况没？是怎么想的和处理的？或者有其他意难平的事，也可以交流一下。",4,,12,,2026-06-17 19:37:01
