笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
6a312a4e000000001503d268,meme,https://www.xiaohongshu.com/search_result/6a312a4e000000001503d268?xsec_token=ABzo91c7VIfdppP7FCZM7bRKKSnpzVKS0fWA2KMnZhF7g=&xsec_source=,滴滴女司机抱怨 她计划,"以为这是照顾女司机所以选了这个她计划
结果一上车就被嫌弃的语气说女乘客 xxx
这位女司机说一般早晚高峰都会关掉这个她计划
因为女乘客打车都是“快活儿”
	
那我也关掉了🤣",1,1,4,2,2026-06-16 18:49:50
6a32b7f90000000021021f43,TWOTWO,https://www.xiaohongshu.com/search_result/6a32b7f90000000021021f43?xsec_token=ABNV3U1l6kOI0X3OTrYVszJNU1wdfwdte2iP6mULg7QuA=&xsec_source=,滴滴打车选女司机实际男司机,"本来就是为了图个心安晚上打车选女司机
结果来了之后是个大哥
而且头像就是女司机的专属头像
因为这是个首汽约车第三方的订单
现在滴滴和这个第三方都说自己处理不了😅",1090,11,35,12,2026-06-17 23:06:34
6a2bd9da000000001603ffd2,凉水白开儿,https://www.xiaohongshu.com/search_result/6a2bd9da000000001603ffd2?xsec_token=AB4jZTlrUrzbWpDAWdfxQbKZ9Qk6NgCLEDcebso47yWmQ=&xsec_source=,女性友好能帮到一个是一个,"今天一上车滴滴司机就问我：从哪里能设置优先呼叫女司机，因为有乘客主动问过她，但是她也不知道从哪里能选择设置，我告诉她在：我的—她计划 然后我就听见她重复念叨着：我的，她计划，看得出来司机姐姐是想要记下来真的很可爱[大笑R][大笑R][大笑R]
	
细心观察才发现其实滴滴把这个选项放在很明显的位置，我记得最开始也是从小红书上刷到了解有这个模式的，立刻就去设置了，希望更多的女孩子们能了解到！
#女性友好[话题]# #滴滴她计划[话题]# #她计划[话题]# #打车攻略[话题]# #臭车[话题]#",27,2,14,5,2026-06-12 18:05:14
6a334b6d0000000007026a43,半眠,https://www.xiaohongshu.com/search_result/6a334b6d0000000007026a43?xsec_token=AB3oib7tH48MvQDiWXZFlvVcKqKx4ty5jxvXtYfsmyn8U=&xsec_source=,打一个月女司机的车有感,"杭州进入梅雨季之后，这一个月经常打车，每次基本都会用滴滴优先匹配女司机。
所以这一个月，遇到了很多很多女司机。
比如某天的大暴雨让撑伞的我分外狼狈，司机阿姨会特意把车停到避雨的商铺旁边，让我慢慢过来不着急。
比如几次下班碰上晚高峰，堵车严重路况很差，司机姐姐全程稳稳开车，过隧道的时候不急躁不超车，安安稳稳把我送到目的地（我是一个比较害怕长时间在隧道里的人）。
再比如拍完毕业照回学校的时候，司机阿姨会恭喜我们毕业，并骄傲地说自己也有一个和我们一样大的女儿，今年也毕业了。
再比如脚受伤的时候，司机阿姨会主动下车帮我放行李，停车的时候把我送到大门口，慢慢等我下车。
	
印象最深的是一次雨后初晴，车窗搬开，司机阿姨放着轻柔的老歌。路过西湖时，我在熙熙攘攘的人群里，恰好看到了最美的晚霞。
一个月，这座城市在雨季里的温柔，被这些开车的姐姐阿姨们，一程一程送到了我的面前。感谢女司机们的存在，让女孩们更安心。
#女司机[话题]# #大学生实习[话题]# #互联网大厂实习[话题]# #女性[话题]# #开车[话题]# #我的实习生活[话题]# #手握方向盘的安全感[话题]# #手握方向盘[话题]# #开车要小心[话题]# #开车出去玩[话题]#",35,3,6,,2026-06-18 09:35:41
6a30ce14000000001101775c,YuAAi,https://www.xiaohongshu.com/search_result/6a30ce14000000001101775c?xsec_token=ABHjxo2n_Xyv2atf9j6gRRUz4_6LQ40R6IS8UIO2bKV8w=&xsec_source=,滴滴优先女司机真的太难打了……,"去年开始用这个功能，刚开始时一切都很顺利，基本上很快就能打到，之后把等待时间从90秒调成了30秒就很难用了，现在更是离谱，基本上半个小时都打不到一辆女司机的车，明明时间地点都是一样的，就是完全打不到，就是因为有这个功能才经常用滴滴的，结果越来越杀熟，其他打车平台什么时候开发这个功能立马不用滴滴了
@滴滴 @滴滴出行
#滴滴[话题]# #滴滴出行[话题]# #滴滴女司机[话题]# #滴滴她计划[话题]# #吐槽[话题]#",1,,19,,2026-06-16 12:16:20
6a32d16a000000000702fa11,白白白白白痴,https://www.xiaohongshu.com/search_result/6a32d16a000000000702fa11?xsec_token=ABNV3U1l6kOI0X3OTrYVszJLqK9A4-BMrwAlcbiLuqHoo=&xsec_source=,,现在打车越来越人性化了[点赞R][点赞R][点赞R]可以选择女司机啦点赞👍🏻👍🏻👍🏻#网约车[话题]# #车险[话题]# #选车[话题]# #出租车[话题]# #滴滴[话题]# #滴滴出行[话题]# #女司机[话题]#,4,,7,,2026-06-18 00:55:06
6a3350da000000000f004e6d,艾米好疲惫,https://www.xiaohongshu.com/search_result/6a3350da000000000f004e6d?xsec_token=AB3oib7tH48MvQDiWXZFlvVYj7kSr99qpJUQRenQSY_tA=&xsec_source=,特惠宣传大使,#网约车女司机[话题]# #女司机日常[话题]# #网约车那点事[话题]# #滴滴出行[话题]#,,,,,2026-06-18 09:58:50
6a3260a60000000011018dc3,艾米好疲惫,https://www.xiaohongshu.com/search_result/6a3260a60000000011018dc3?xsec_token=ABNV3U1l6kOI0X3OTrYVszJPtL2snMkqNdpEiBrnNw0Ao=&xsec_source=,什么是特惠一口价？,#网约车女司机[话题]# #女司机日常[话题]##日常[话题]##滴滴出行[话题]#,8,,,,2026-06-17 16:53:58
6a317b69000000001102c434,盐总,https://www.xiaohongshu.com/search_result/6a317b69000000001102c434?xsec_token=ABzo91c7VIfdppP7FCZM7bRDVtuODXtBSBFA5vlX4oaCE=&xsec_source=,滴滴女司机车技好的少,虽然车不臭了 但技术也拉垮了,3,,4,,2026-06-17 00:35:53
6a3371f00000000015027e24,Mut,https://www.xiaohongshu.com/search_result/6a3371f00000000015027e24?xsec_token=AB3oib7tH48MvQDiWXZFlvVeAGDtVR83qSODt0sPwnYpM=&xsec_source=,滴滴打车，我需要女性司机,#关于我打车被司机种草这件事[话题]# #滴滴打车[话题]# #滴滴出行[话题]# #司机[话题]# #网约车[话题]# #滴滴司机[话题]#,2,,1,,2026-06-18 12:20:00
6a2d33ba000000001702b7c8,平台职业研究员,https://www.xiaohongshu.com/search_result/6a2d33ba000000001702b7c8?xsec_token=AB4BlRuP-ycxGGxogUCdzoXlXXLbpfJjNIoqTi58U2cec=&xsec_source=,深夜打车选女司机，双向的难处谁懂,"独自夜间出行，很多女生都会勾选女司机优先，只想在车厢里多一份安全感。可慢慢发现，这个看似贴心的功能，却让乘客和女司机都陷入了两难。
ㅤ
作为乘客，我们默认同性司机会更细心周到，期待也不自觉拉高。一旦遇到路线确认、短时等候，或是没能提供额外帮忙，心里就容易产生落差，不满随之而来。偏高的投诉率，并非女生过于挑剔，只是过高期待和标准化服务之间出现了裂痕。
ㅤ
反观女司机，这个选项是保护也是负担。它能帮她们规避部分安全隐患，却也让服务细节被无限放大。乘客带着固有印象乘车，常规操作也可能被误解，考核压力翻倍，无形之中被套上了枷锁。
ㅤ
出行安全，从来不该依靠性别筛选来实现。把安全责任转嫁到司机身上，本身就是一种误区。司乘间的矛盾，大多来自导航偏差、路况延误、沟通不畅等客观问题，和性别毫无关系。
ㅤ
真正的出行保障，需要平台筑牢防线：完善音视频监控、优化一键求助功能、落实安全培训，从根源上管控风险。
女性友好不是贴性别标签，更不是制造新的偏见。希望每一位夜间出行的人都能安心，每一位奔波的司机都能被公平对待，让安全感不再成为任何人的压力。
#网约车[话题]# #女生打车安全[话题]# #夜间出行[话题]# #女司机[话题]# #女性安全[话题]# #司乘关系[话题]# #城市出行[话题]# #出行感悟[话题]# #拒绝性别标签[话题]# #生活随笔[话题]#",11,3,14,2,2026-06-13 18:40:58
6a32ab420000000022019627,虞笙结弦,https://www.xiaohongshu.com/search_result/6a32ab420000000022019627?xsec_token=ABNV3U1l6kOI0X3OTrYVszJH5U22wkNSN90R3XAZXXmqs=&xsec_source=,,滴滴什么意思嘛，一到晚上就给我弄到这么远的地方#网约车女司机[话题]# #每天忙忙碌碌的奔波[话题]#,1,,,,2026-06-17 22:12:18
6a32a06200000000060230ed,枕着星光入睡,https://www.xiaohongshu.com/search_result/6a32a06200000000060230ed?xsec_token=ABNV3U1l6kOI0X3OTrYVszJAir6GGu6NQtRlB_WjUkQzo=&xsec_source=,她在路边停下车，抱了一个哭的小孩,"打了一辆滴滴，顺手勾了“她计划”——就是可以优先匹配女司机的那个功能。
	
是个普通的工作日下午，太阳有点晒。我坐在后排翻手机，车开到一条老城区的窄路上，两边都是居民楼。师傅忽然减速，靠边停了。
	
我抬头一看，前方十几米的地方，一个小孩蹲在电线杆下面，三四岁的样子，穿着印有奥特曼的T恤，脸上全是眼泪和鼻涕，哭得一抽一抽的，嘴里含糊地喊“奶奶……奶奶……”。旁边来来往往的行人看了一眼，没人停下来。
	
师傅拉手刹，什么也没说就下了车。她从后备箱拿了一瓶没开封的水，蹲下来跟小孩平视，声音很轻：“小朋友，你奶奶呢？”小孩哭得说不出话，她就先拧开水，让他喝了一小口。然后从兜里掏出一包纸巾，给他擦了擦脸。
	
小孩慢慢不哭了，指了指前面那排楼的拐角。师傅牵着他的手，慢慢走过去。我留在车里等着，看着她半蹲着身子，小孩的小手抓着她一根手指。走了大概五十米，到了一个小区的保安亭，保安一看到小孩就说“哎呀，这孩子我们这栋的，老太太急坏了”。保安在打电话通知家属，师傅确认了有人来接，才转身往回走。
	
回来的时候她跟我说：“小孩跟奶奶去菜市场走散了，自己走回来不认识路。好在保安认识。”她语气很平，像做了一件很小的事。重新发动车子的时候，她看了看后视镜说：“让你久等了。”
	
我说没有，应该谢谢你。
	
#懂事的让人心疼[话题]# #希望每个孩子都被保护[话题]# #小朋友过马路[话题]# #母爱的力量[话题]# #愿每一个孩子都被好好保护[话题]# #哭着哭着就笑了[话题]# #爱哭的孩子有糖吃[话题]# #泪目[话题]# #在爱里长大的孩子[话题]# #愿每个孩子都能被温柔以待[话题]#",54,3,4,3,2026-06-17 21:25:54
