笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
6a2bf7c6000000002103db73,哄哄,https://www.xiaohongshu.com/search_result/6a2bf7c6000000002103db73?xsec_token=AB4jZTlrUrzbWpDAWdfxQbKQHwLBwBpjZikiAeGG5qUbQ=&xsec_source=,以后可不能打特惠了！,以前特惠选项我都是取消，今天忘了取消结果下了特惠单！本来想取消但是一看也不远忍忍就过去了！没想到还是生了一肚子气！一上车司机就开始说你这下的什么烂逼单！这么便宜！我寻思确实挺便宜也就没吱声！抓紧到地方就行！没想到他越说越来劲！说就是你们这些人光图便宜导致他们不赚钱怎么的怎么的！我实在忍不住了回了一句你可以不接啊！然后他就开始了各种抱怨！最后来了句就当拉猪了！我一下爆发了跟他吵了起来！吵得很厉害他让我更改了目的地的我中途下了车？回手就给他举报了！这也太气人了！,275,22,507,44,2026-06-12 20:12:54
6a314407000000002201b5cc,记录生活的路人甲滴滴师傅,https://www.xiaohongshu.com/search_result/6a314407000000002201b5cc?xsec_token=ABzo91c7VIfdppP7FCZM7bRJem6h3gwUqf6r_KjakafNU=&xsec_source=,滴滴师傅:不演了，同一张单两个价很正常的,"[偷笑R]
同一张订单，同一个起点和终点
两个价格[大笑R]不奇怪，
公里数却变了（全程）[喝奶茶R][喝奶茶R]
	
[微笑R]我为什么忍不住吐槽同行，
非要没苦硬吃【帮滴滴跑 [doge]随心接[doge]】
	
——《我埋怨的点，说人话:
明明*特惠订单，已经是90%滴滴师傅心里勉强能接受的底价了，却偏偏输给那10%的内卷同行》
[抠鼻R]是真不知道，乘客给平台本来就这么多？
抽一部分佣金，再分给师傅。
[偷笑R]随心接有师傅啃，那干嘛还给特惠呢？？
[抠鼻R]还是假装不知道？同一张单，没师傅啃是真会变类型？？
就这么恶狗抢💩？？饥不择食？？
就为了那点钱？？？而且是明摆着少挣了的[大笑R][大笑R][大笑R]
【例如:  21公里，乘客只给了35元（叠优惠价更低/ 别的平台挖来的单更更低），
随心接一口价24元。 特惠25元 。 快车28元__[微笑R]特惠/快车/特快，都会因为堵车～时间多多少少补几毛/几元。
[doge][doge]最终还不是平台吃大头？？？】
[微笑R]随心接一口价，同一张单（21公里）跑40分钟和跑70分钟，价格是不会动一分一毫的。
谁敢保证路上不会堵车？突发拥堵？？
[喝奶茶R][喝奶茶R]当然，40分钟能跑完21公里挣24，
还能偷着乐，如果多花10分钟，多花30分钟？？？？真的真的真的挣了吗！？[doge]
还得平台善良*不偷公里数，不是别家买来的超低价第三方订单[doge][doge]
	
[抠鼻R][抠鼻R]真的图什么呢？？？
车子磨损，保养，充电是真不用钱的？上路时真不会爆胎？！  __都不扯生活开支了。。
就喜欢每天开车出门帮平台赚钱，自己赚的还没平台多。
[喝奶茶R]租车？？只要有钱进账就行？？当我没说。。。尊重但无法理解[偷笑R][偷笑R][偷笑R]
	
平台之间互相卷低价，
同行卷得更卖力[大笑R][大笑R][大笑R]
这个行业，就是这么一步步沦为四不像。。
	
大环境越来越差[微笑R]
谁都不容易，不管生存还是挣钱。
但，真有必要这么内卷他人苦了自己！？
真就“伤敌一千，自损八百”
	
我从不指望这个行业团结。
但真心架不住同行[抠鼻R][抠鼻R]把这个行业越做越难（烂）
尤其每当遇到暴雨天，随心接一出来就秒抢的同行，只能说注意安全吧。我反正宁可继续坐车里等雨停。
	
[偷笑R]而我？选择咸鱼摸鱼上班
能挣多少，平台算计得明明白白，怎么都不会多给。该下班立马下班。
	
————
以上纯个人吐槽",2,,25,,2026-06-16 20:39:35
6a2e81fe0000000022009677,林落木夕,https://www.xiaohongshu.com/search_result/6a2e81fe0000000022009677?xsec_token=ABIW9xe49g9-32HF9LoLC9nrj6oi8yllBVI8RZVYQ25Rg=&xsec_source=,滴滴✗,"特惠快车说预计2分钟叫到，我等了7.8分钟附近打车的人都没了，还是打不到。
换了高德，秒接单。
@滴滴 @滴滴美好出发
你们要是有车就接活，没车就别干了。是不是用你们软件车打多了，便宜的车型就不给我派了？要不就是一等等7.8分钟，派的车过来还得7.8分钟。等个车15分钟，美好出发个P",14,,73,2,2026-06-14 18:27:10
6a32bc27000000001603df55,奔波的滴滴人,https://www.xiaohongshu.com/search_result/6a32bc27000000001603df55?xsec_token=ABNV3U1l6kOI0X3OTrYVszJDgraEqLwQr3c_Qe6NdT0Ks=&xsec_source=,避雷提醒｜从特惠转轻享真实体验...,"避雷提醒｜从特惠转轻享真实体验
在线13.3h，18单流水496.7 还有40是高速费！
之前的车到期了 重新租了一个星海s7  月租3800一个月 想着轻享单价高 会不会轻松一点  谁知道这几天感受下来比跑特惠还累 单量骤减 跑一单停一会 完全没个连单的
长时间在线熬人，身体累收入提升也有限！后悔死了 有大佬教一下怎么跑轻享吗？
#滴滴司机[话题]# #滴滴出行[话题]# #滴滴轻享[话题]#",,,2,2,2026-06-17 23:24:23
6a2cbccb0000000022019690,记录生活的路人甲滴滴师傅,https://www.xiaohongshu.com/search_result/6a2cbccb0000000022019690?xsec_token=ABPp00xxOH615zPmdQdlMo5oRFODsGmehQtmoqBL_YrYw=&xsec_source=,滴滴师傅: 同行内卷？总归成就了平台。,"以前都吐槽，特惠谁接啊？（可，特惠当年还有1.5～1.7元/公里）
上一年25年，随心接，还能自己选1.3～1.7元，接哪个价格段。
——————
**如今。。。。。2026年6月
每逢周五六日，主推随心接
过节/放假，加大力度主推。
随心接免佣。不还是一口价？
导航显示半小时送达，开始行程后跑了1个小时，懂的都懂。
一口价:30分钟挣30元 Vs 60分钟挣30元的区别。需要跑至少27公里。。觉得不亏就行。能一样吗？？
【但凡接特惠，堵车至少还能给你多跳几元钱。。一口价随心接堵完免佣，能多给的金额（免佣）平台早就掐着。掏不了任何好。
再叠一下乘客的优惠券。哈哈哈哈。免佣多给师傅2.3元】
	
平峰期，随心接1.1元/公里
高峰期，（图1）才有1.2～1.4元/公里，免佣完能给1.5元/公里就不错了。
然而。。。。
花60分钟
①跑27公里挣30元
②跑4单特惠起步价，也是到手30
我宁可选后者。哪怕没4单，就3单也不至于被一口价整得心烦。
	
真的给我一种错觉:
好多同行，还不知道乘客给的钱就这么多。平台就是按一口价计算给师傅的。就非得主动去接受一口价，还是越堵车越不跳表的随心接。
反正，人教人教不会，平台潜规则就懂了就老实了。
	
[doge][doge]
继续帮平台内卷吧，
特惠/快车降价，我作为师傅都还能无可奈何的理解。
随心接都还能义无反顾的抢/接，平台真得感谢某些同行了。
也让平台更有底气继续降价。
[doge]别和我扯，不还是为了生活，混口饭吃。
谁不用吃饭？谁不用养家似的。
随心接从1.7元/公里，一路掉到1.1元/公里，或许年底还能降到0.8元/公里。
[doge]不正是没底气，没骨气的同行内卷后导致的？？平台知道会有师傅忍不住接，那就更有底气继续降价拿捏🤏🏻，不是吗？？
[大笑R][大笑R]*希望这些同行，充电不用钱，车子不用保养，不用吃喝拉撒。纯铁打的。。
	
（图3）城际拼车，
30.4公里，一口价31。
也很需要随心接同行们的出手和努力呢[微笑R]",9,1,52,3,2026-06-13 10:13:31
6a3260a60000000011018dc3,艾米好疲惫,https://www.xiaohongshu.com/search_result/6a3260a60000000011018dc3?xsec_token=ABNV3U1l6kOI0X3OTrYVszJPtL2snMkqNdpEiBrnNw0Ao=&xsec_source=,什么是特惠一口价？,#网约车女司机[话题]# #女司机日常[话题]##日常[话题]##滴滴出行[话题]#,8,,,,2026-06-17 16:53:58
6a32403c000000000803064e,奋斗的咸鱼,https://www.xiaohongshu.com/search_result/6a32403c000000000803064e?xsec_token=ABNV3U1l6kOI0X3OTrYVszJCyij2ycdq7366sFRbDiWOg=&xsec_source=,,"就不开特惠 没单都不开
#网约车那点事[话题]# #滴滴[话题]# #特惠快车[话题]# #兼职副业[话题]#",4,,2,1,2026-06-17 14:35:40
6a2a4b7f000000002200a26e,AAA海拉鲁苹果榴莲香蕉批发,https://www.xiaohongshu.com/search_result/6a2a4b7f000000002200a26e?xsec_token=ABqTHkimJEfK9L-rWABqVLZfkmN2hopF1EMU15UXIm3W8=&xsec_source=,好消息滴滴不杀熟，坏消息专宰新人,p1-3是新人打车价格，p4-5是普通打车价格，行程一致，新人说是有五折优惠啊立减十元啊，实际比普通打车还要贵，有人要问了普通打车可能也有券呀🤔，普通打车有个七折的券而新人是五折的券，按理再怎么也不会比新人便宜，滴滴你就这样虚假宣传骗人吧，给不起优惠别给装挺大方一人，优惠广告小程序里乱弹看得眼花实际起到令个优惠效果@滴滴 @滴滴出行客服 #滴滴[话题]# #滴滴收费乱象[话题]# #滴滴虚假宣传[话题]#,2,,2,,2026-06-11 13:45:35
6a2eb033000000001603c1b8,siga,https://www.xiaohongshu.com/search_result/6a2eb033000000001603c1b8?xsec_token=ABIW9xe49g9-32HF9LoLC9nr8R9eqdCfqYdb9G3jivFNM=&xsec_source=,一口价还会变价？滴滴认真的？图二详细,就两公里看到滴滴专车有券就打专车，结果用不了券？？还好打车截图了一口价。打车前可以用券，打完车就不能用券了@滴滴美好出发 #关于我打车被司机种草这件事[话题]# #网约车[话题]# #拒绝价格刺客[话题]# #出行交通方式[话题]# #出租车[话题]#,5,1,20,2,2026-06-14 21:44:19
6a30d409000000000f007696,户外好物阿卷😙,https://www.xiaohongshu.com/search_result/6a30d409000000000f007696?xsec_token=ABHjxo2n_Xyv2atf9j6gRRU_Iv1-7HvH3C74X8fPTcdTw=&xsec_source=,我要不要投诉滴滴？,起因是，每次回家叫车，其实是有特惠或者顺风的，但是想着贵一点儿的会舒服一些，完了每次司机都会问我要返费,,,6,,2026-06-16 12:41:45
