笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
69f47729000000003501c1fa,"西瓜凉了半个夏🍉
05-01",https://www.xiaohongshu.com/search_result/69f47729000000003501c1fa?xsec_token=ABo0xVOABY-mXpbK1popMiE7EQm3UCWTTlFeKvI7EpEWc=&xsec_source=,滴滴站点巴士你行不行？？？,,,,,,
691dad62000000001b024c54,"每日广告案例
2025-11-20",https://www.xiaohongshu.com/search_result/691dad62000000001b024c54?xsec_token=AB7BUg5ufq9kdtmG2p-B00-u3suZBbTc-aTIJmed2dzKs=&xsec_source=,滴滴巴士：2025年如何用场景吸引年轻人？,,,,,,
69f05157000000003700c60a,"你睡着了吗
04-28",https://www.xiaohongshu.com/search_result/69f05157000000003700c60a?xsec_token=ABO9JKhW3zaN2no-_S0zXxUE86-wb4APhUTRgL_l0O98s=&xsec_source=,我去第一次打滴滴小巴,,,,,,
6a33651f000000001c025b82,"车闻速递
2小时前",https://www.xiaohongshu.com/search_result/6a33651f000000001c025b82?xsec_token=AB3oib7tH48MvQDiWXZFlvVY9iu7zs08sijB8_uXcM-QE=&xsec_source=,,,,,,,
68dcb8f8000000000503ae6c,"紫金蓝云
2025-10-01",https://www.xiaohongshu.com/search_result/68dcb8f8000000000503ae6c?xsec_token=ABvqxz3Z53dXxXKxPeqHW5KpmwWfgKvDapbVtV_zlEpWA=&xsec_source=,滴滴站点巴士垃圾垃圾垃圾！,,,,,,
697876570000000022022488,"牛油果🥑
01-27",https://www.xiaohongshu.com/search_result/697876570000000022022488?xsec_token=ABdzHT35wgdetk6dVGVLZYy3iTrttchAlbNshsjDCB2qg=&xsec_source=,在望京东站看滑雪广告，心已经飞到雪场了！！,,,,,,
6a15a07d0000000007021028,"薯条薯条～
05-26",https://www.xiaohongshu.com/search_result/6a15a07d0000000007021028?xsec_token=ABolkgzTk7hTFQDGzVWSzimJ6jLowRiaA2_bV1-Ewuoic=&xsec_source=,滴滴网约公交,,,,,,
69edfc54000000003502aae3,"RZ777
04-26",https://www.xiaohongshu.com/search_result/69edfc54000000003502aae3?xsec_token=ABqlK_6nfHbK4ic_3aKOjgR29UhCnth7Q0LG-utN2i31w=&xsec_source=,现在居然都还有网约小巴了，这么牛逼，怒省10,,,,,,
687a3b7a00000000100245df,"momo
2025-07-18",https://www.xiaohongshu.com/search_result/687a3b7a00000000100245df?xsec_token=ABPkBN7kBCzwWJ-6rHiGtGzdlU7Yx7rO6ilqkblx8t0lY=&xsec_source=,滴滴巴士不要尝试❌❌❌❌,,,,,,
6877763300000000150220a9,"超级打工者（职场新人版）
2025-07-16",https://www.xiaohongshu.com/search_result/6877763300000000150220a9?xsec_token=ABmpJhs2yOSz7ZvoVMvpyopCFY39ZaxAT-3goSVbd2GE4=&xsec_source=,秋招演练day67|为什么滴滴小巴那么便宜？,,,,,,
6a2a6a7400000000060215c1,"中国青年网
6天前",https://www.xiaohongshu.com/search_result/6a2a6a7400000000060215c1?xsec_token=ABqTHkimJEfK9L-rWABqVLZelsh_fBTt0sARhTLAZPCt8=&xsec_source=,滴滴8.0来了，一个App，装下出行生活的全部,,,,,,
69f89ddb000000002202994d,"他在蓝色荒野中
05-04",https://www.xiaohongshu.com/search_result/69f89ddb000000002202994d?xsec_token=ABwWK4WHoI3Kgi7DFRF3DLlBRYH4QQLW1PMQGjRDlhfNM=&xsec_source=,平静了很久，难得急出眼泪,,,,,,
6921745a000000001d03a613,"Temy
2025-11-22",https://www.xiaohongshu.com/search_result/6921745a000000001d03a613?xsec_token=ABkXLVSwMWhyhMrt67GHNeIr9b_NGeTG_NUnuNgpdIYtw=&xsec_source=,滴滴小巴，居然就是站点拼车，差点误车,,,,,,
68e4f8530000000004022bb5,"世一萌小鸟
2025-10-07",https://www.xiaohongshu.com/search_result/68e4f8530000000004022bb5?xsec_token=AB4k0OmC2e3HJqSGtt-xOn_YKJ-6_aJflacK7N6hZI4Bc=&xsec_source=,坐滴滴站点巴士的注意,,,,,,
6a1173c9000000003501c8f8,"小陈什么时候放假呢
05-23",https://www.xiaohongshu.com/search_result/6a1173c9000000003501c8f8?xsec_token=ABSSDOHvy_dxutLNzLumnZiWxPLQCLUQsJPEJrKcfbq6w=&xsec_source=,滴滴站点巴士欺瞒消费者,,,,,,
67863c76000000000b021878,"哇咔咔咔咔
2025-01-14",https://www.xiaohongshu.com/search_result/67863c76000000000b021878?xsec_token=ABOb20Mc2psfH_Wpvh6oF4hEIzj-b8UX5UcK6ZnKp-luo=&xsec_source=,滴滴巴士避雷！！根本不能退票！！,,,,,,
67ede30e000000001c00c7cd,"ei↗小柒吖～
2025-04-03",https://www.xiaohongshu.com/search_result/67ede30e000000001c00c7cd?xsec_token=ABcdyWRKv8KP1HaTxlDeaZD6JMw72SBTqyt49glp8i-sI=&xsec_source=,2025年4月，第一次坐dd巴士，记录感想,,,,,,
690dd4330000000007030913,"北瓜melon
2025-11-07",https://www.xiaohongshu.com/search_result/690dd4330000000007030913?xsec_token=AB_Lk5eAHLWuhQnK406DKhAeenIFX5d6Qr6eT2d-53ytc=&xsec_source=,再也不会选择滴滴站点巴士了,,,,,,
69d30ea20000000022000cb5,"uuuuuy
04-06",https://www.xiaohongshu.com/search_result/69d30ea20000000022000cb5?xsec_token=ABKX0pnpUCIlorM6PhkQw_Ksjw_pk2Y5y0UDK-RGJYXks=&xsec_source=,滴滴站点巴士狠狠避雷！！！,,,,,,
6a2534ed000000001503f237,"Lester
06-07",https://www.xiaohongshu.com/search_result/6a2534ed000000001503f237?xsec_token=ABLrveAanGBmhIp73YXz_KK7UMyKJNj5w-ux6IrYOfdBg=&xsec_source=,被时代吞没,,,,,,
697877d8000000002202c8e7,"多多酱
02-01",https://www.xiaohongshu.com/search_result/697877d8000000002202c8e7?xsec_token=ABdzHT35wgdetk6dVGVLZYy4kDx5Gew1Km1ImndA41bVE=&xsec_source=,北京地铁惊现滴滴巴士！小小滑雪场轻松拿下,,,,,,
69d38842000000002200fb9e,"三五七言circle
04-06",https://www.xiaohongshu.com/search_result/69d38842000000002200fb9e?xsec_token=ABKX0pnpUCIlorM6PhkQw_KuIX1ofaD1kpMQSBYOQurYo=&xsec_source=,避雷滴滴站点巴士！！！！！,,,,,,
6a0d339f000000003501c295,"开滴滴的小姨婆
05-20",https://www.xiaohongshu.com/search_result/6a0d339f000000003501c295?xsec_token=AB2moOxHMH6X3D07k7Ttv6mEe4oe_8Gw0yfsJBiPnPgvM=&xsec_source=,,,,,,,
694411d5000000001f006379,"请你吃堡！
2025-12-19",https://www.xiaohongshu.com/search_result/694411d5000000001f006379?xsec_token=ABrHUfxDOETuSeIiJHz9VRCgvm_-TyypfuuplfielVvFg=&xsec_source=,滴滴站点巴士你别太离谱！,,,,,,
69de5c4b000000001f0063dc,"古道
04-14",https://www.xiaohongshu.com/search_result/69de5c4b000000001f0063dc?xsec_token=ABJBDSrvEfPSeHm0ZmeD6CFU55XT78KSUTajXMQQCT6ns=&xsec_source=,异地恋助攻巴士🚗,,,,,,
69d353a7000000002102d86b,"哟，咸鱼
04-06",https://www.xiaohongshu.com/search_result/69d353a7000000002102d86b?xsec_token=ABKX0pnpUCIlorM6PhkQw_KjA8ETD1G2R0QJHdjcwgNpY=&xsec_source=,,,,,,,
6a190b8b000000003701f344,"小刘的好心情😁
05-29",https://www.xiaohongshu.com/search_result/6a190b8b000000003701f344?xsec_token=ABAux-BCAT7aYnYEj5h26JRZVa1IDNyYguNXTmg8LsABI=&xsec_source=,谁还没坐过小巴！？,,,,,,
6a1160b3000000003601b23f,"12345
05-23",https://www.xiaohongshu.com/search_result/6a1160b3000000003601b23f?xsec_token=ABSSDOHvy_dxutLNzLumnZidYrLkcG0bnuBiBSX6A_O9A=&xsec_source=,避雷滴滴城市巴士，不给退票,,,,,,
6896c0b10000000023038690,"逢凶化吉的LL
2025-08-09",https://www.xiaohongshu.com/search_result/6896c0b10000000023038690?xsec_token=ABrFHtzFK6KnUHOtfkekcI-wLislW4Tu43fQNigTjU1LM=&xsec_source=,💢垃圾滴滴站点巴士！🚫 拉一辈子黑名单 🈲,,,,,,
67fdfb8d000000001e009855,"c酱
2025-04-15",https://www.xiaohongshu.com/search_result/67fdfb8d000000001e009855?xsec_token=ABrPHL79KXTL0uToFY5zaY_i_v4ZFX3zcdWhX5XJs8tZc=&xsec_source=,【滴滴站点巴士注意】发车不准会晚半小时以上,,,,,,
6a1eb8c2000000003503323b,"中国青年网
06-02",https://www.xiaohongshu.com/search_result/6a1eb8c2000000003503323b?xsec_token=ABVerBwQYk-imgWN39I1DeCJs6w_kgmDOmDRKighrLqtI=&xsec_source=,滴滴会员全新升级！这下等级更稳了！🎉,,,,,,
69cfcaec00000000230100b4,"云淡风轻
04-03",https://www.xiaohongshu.com/search_result/69cfcaec00000000230100b4?xsec_token=AB074VRZ4wnsYGaW0r9pLWDN8u72xeW6B2_2OSkP7deng=&xsec_source=,滴滴巴士就这么把乘客落路边了么,,,,,,
694f3954000000001d03ed10,"momo
2025-12-27",https://www.xiaohongshu.com/search_result/694f3954000000001d03ed10?xsec_token=ABgDnTnR8b0HULA3WP-lLGWEc7bKnfsMd2rOVnYZaSvIQ=&xsec_source=,热带植物园坐滴滴巴士一定要选前者,,,,,,
687f5de20000000015021127,"叫我可达可达鸭🐤
2025-07-22",https://www.xiaohongshu.com/search_result/687f5de20000000015021127?xsec_token=ABPpjaELMiXhERGgYkilTS4tXQTDt7b3WpNeHZrAP9hY4=&xsec_source=,让出行更美好🚗,,,,,,
68cb8df2000000001301b8eb,"我会在新乡做个新人
2025-09-18",https://www.xiaohongshu.com/search_result/68cb8df2000000001301b8eb?xsec_token=AB76w9NNlLzeONNMSE3-uB4eTAILt-MpdbO2_LSRrwqCc=&xsec_source=,,,,,,,
6a1a463c0000000038021894,"11
05-30",https://www.xiaohongshu.com/search_result/6a1a463c0000000038021894?xsec_token=AB2gv6omfd_B4s6-TKCGmeRcc5CbJhWMyrZOajpEqntPM=&xsec_source=,如题。,,,,,,
69b1508d0000000016009741,"一只小麻烦
03-11",https://www.xiaohongshu.com/search_result/69b1508d0000000016009741?xsec_token=ABcy2HNM9miSEfsLEu3fj9tAEXttxQTuvuKKHjtQKaxX8=&xsec_source=,滴滴小巴确实便民，但规则不透明，这个bug……,,,,,,
6a12384c0000000038036019,"若水微香
05-24",https://www.xiaohongshu.com/search_result/6a12384c0000000038036019?xsec_token=ABVPuHaIhNTEQ0vPbtea-J3gBrQc_3BM7fUQJ13an9gl8=&xsec_source=,济南滴滴公交初体验ﾉ☀,,,,,,
683076c600000000210185c2,"大厂Talk
2025-05-23",https://www.xiaohongshu.com/search_result/683076c600000000210185c2?xsec_token=ABU3WeFKLOaBHohaOw-3ziJHUItak7dLqhFAr32vUIRCY=&xsec_source=,两轮车部门待遇这么好？,,,,,,
694cb32d0000000022032ef3,"我再想想办法
2025-12-25",https://www.xiaohongshu.com/search_result/694cb32d0000000022032ef3?xsec_token=AB1D2_k_yMpvirHvKvXfx0KV0KebuWyPAQhgim0D30fkg=&xsec_source=,求问滴滴新橙海实习！,,,,,,
6905e6590000000005031612,"小瞎不瞎（真的求求了）
2025-11-01",https://www.xiaohongshu.com/search_result/6905e6590000000005031612?xsec_token=ABJ--mU3RDk6DP0w4Ufy20F17a2EE50VxQGCm2B35mnG0=&xsec_source=,职场幸运瞬间，这波谢谢滴滴巴士,,,,,,
692dbd63000000001e03b4f0,"爱吃饭爱睡觉爱贺涵
2025-12-02",https://www.xiaohongshu.com/search_result/692dbd63000000001e03b4f0?xsec_token=ABxPXtqix1Y3ky20HduNnLEqupuAauS7iUu7OUIYuV7dA=&xsec_source=,避雷滴滴站点巴士 晚点 纯外包 客服坑人,,,,,,
68e53e51000000000401055c,"尔耳
2025-10-08",https://www.xiaohongshu.com/search_result/68e53e51000000000401055c?xsec_token=AB1YlGWx5hwf5ENpX7PEt6duY_U-nca8CZuk-Xn15-twY=&xsec_source=,滴滴我睡不着,,,,,,
6a3264b4000000001003c7cc,"🍔
昨天 17:11",https://www.xiaohongshu.com/search_result/6a3264b4000000001003c7cc?xsec_token=ABNV3U1l6kOI0X3OTrYVszJOeWjuQ86uKjPldqwS5hA5M=&xsec_source=,滴滴小巴不就是拼车吗,,,,,,
