search_keyword,search_url,search_rank,output_rank,filter_sort_by,filter_note_type,filter_publish_time,filter_search_scope,filter_location,page_filter_url,page_filter_selected,page_filter_error,source_url,note_id,xsec_source,preview_title,preview_author,fetch_error,raw_json
滴滴巴士,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed,1,1,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69f47729000000003501c1fa?xsec_token=ABo0xVOABY-mXpbK1popMiE7EQm3UCWTTlFeKvI7EpEWc=&xsec_source=,69f47729000000003501c1fa,,滴滴站点巴士你行不行？？？,"西瓜凉了半个夏🍉
05-01","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴巴士,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed,2,2,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/691dad62000000001b024c54?xsec_token=AB7BUg5ufq9kdtmG2p-B00-u3suZBbTc-aTIJmed2dzKs=&xsec_source=,691dad62000000001b024c54,,滴滴巴士：2025年如何用场景吸引年轻人？,"每日广告案例
2025-11-20","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴巴士,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed,3,3,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69f05157000000003700c60a?xsec_token=ABO9JKhW3zaN2no-_S0zXxUE86-wb4APhUTRgL_l0O98s=&xsec_source=,69f05157000000003700c60a,,我去第一次打滴滴小巴,"你睡着了吗
04-28","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴巴士,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed,4,4,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6a33651f000000001c025b82?xsec_token=AB3oib7tH48MvQDiWXZFlvVY9iu7zs08sijB8_uXcM-QE=&xsec_source=,6a33651f000000001c025b82,,,"车闻速递
2小时前","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴巴士,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed,5,5,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/68dcb8f8000000000503ae6c?xsec_token=ABvqxz3Z53dXxXKxPeqHW5KpmwWfgKvDapbVtV_zlEpWA=&xsec_source=,68dcb8f8000000000503ae6c,,滴滴站点巴士垃圾垃圾垃圾！,"紫金蓝云
2025-10-01","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴巴士,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed,6,6,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/697876570000000022022488?xsec_token=ABdzHT35wgdetk6dVGVLZYy3iTrttchAlbNshsjDCB2qg=&xsec_source=,697876570000000022022488,,在望京东站看滑雪广告，心已经飞到雪场了！！,"牛油果🥑
01-27","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴巴士,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed,7,7,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6a15a07d0000000007021028?xsec_token=ABolkgzTk7hTFQDGzVWSzimJ6jLowRiaA2_bV1-Ewuoic=&xsec_source=,6a15a07d0000000007021028,,滴滴网约公交,"薯条薯条～
05-26","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴巴士,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed,8,8,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69edfc54000000003502aae3?xsec_token=ABqlK_6nfHbK4ic_3aKOjgR29UhCnth7Q0LG-utN2i31w=&xsec_source=,69edfc54000000003502aae3,,现在居然都还有网约小巴了，这么牛逼，怒省10,"RZ777
04-26","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴巴士,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed,9,9,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/687a3b7a00000000100245df?xsec_token=ABPkBN7kBCzwWJ-6rHiGtGzdlU7Yx7rO6ilqkblx8t0lY=&xsec_source=,687a3b7a00000000100245df,,滴滴巴士不要尝试❌❌❌❌,"momo
2025-07-18","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴巴士,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed,10,10,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E5%B7%B4%E5%A3%AB&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6877763300000000150220a9?xsec_token=ABmpJhs2yOSz7ZvoVMvpyopCFY39ZaxAT-3goSVbd2GE4=&xsec_source=,6877763300000000150220a9,,秋招演练day67|为什么滴滴小巴那么便宜？,"超级打工者（职场新人版）
2025-07-16","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
