笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
6a3243f7000000002200a650,旺旺旺的雪饼,https://www.xiaohongshu.com/search_result/6a3243f7000000002200a650?xsec_token=ABNV3U1l6kOI0X3OTrYVszJH-UrNagoPeNgTasqAyzyDo=&xsec_source=,滴滴香卡把我从上班的烦躁里解救了出来,"夏天的下班晚高峰，上过班的应该都懂我在说啥
感觉从地铁挤出来，后背都得全湿完
实在不想“历劫”了，打滴滴直接回家
不仅车里凉快又舒爽
还给我个意外之喜
滴滴香卡跟夏天一起来啦
	
一张可以转动的香香卡，画着一朵荷叶上面还落着落着一只小蜻蜓
凑近闻，是那种雨后草坪的青草味，很淡很舒服
包装也是非常精致，看起来一共有4个样式
于是我集卡体质附体
后来又领到一张萤火虫香卡，闻起来凉丝丝的，中和夏日燥热。
第二天就把香卡摆到了工位上，随时办公都能闻到那股淡淡的清香，感觉都没那么烦躁啦
期待我赶紧集齐全套呀[萌萌哒R]
	
#滴滴出行去往每一种生活[话题]##交换夏天[话题]##夏天[话题]##浪漫生活的记录者[话题]##城市漫步[话题]##周末去哪里[话题]##日常PLOG[话题]##好物种草[话题]##滴滴夏日小乘凉[话题]##滴滴香卡[话题]##滴滴夏季香卡[话题]#",17,10,8,,2026-06-18 11:43:36
6a3374ea000000001503e569,大头小心妈妈,https://www.xiaohongshu.com/search_result/6a3374ea000000001503e569?xsec_token=AB3oib7tH48MvQDiWXZFlvVQ2UG2HaMFjqj6bXNIUfgcA=&xsec_source=,北京夏日出行｜带娃路上的温柔小惊喜,"周末答应带娃去公园，一出小区门就后悔了。最近好像已经能感受到夏季的闷热，空气闷沉沉的，我抱着娃、拎着水壶，走两步娃就开始喊：“妈妈，好热呀。”
	
果断打车休息下，上了滴滴的那一刻，居然有种终于得救了的感觉。
	
车里空调温度刚刚好，让人一下子放松下来。师傅提醒我们可以免费拿车里的夏日小香卡，说是平台送给乘客的。
	
娃的注意力一下子就被吸引了，包装袋里装着小小的一根橘子棒冰，还写着小字“送您一缕夏日清香”，背后还写着夏日小乘凉，一打开袋子，淡淡的橘子的酸甜混着车里的凉意，突然让我想起小时候放学后舔着冰棍坐在院子里的夏天。缓缓散开，思绪也跟着飘远，想起年少时分，和小伙伴一人一根冰棍消磨夏日午后的美好瞬间。
再看看身边的娃，突然觉得还挺幸福的☺️
	
娃也一路都在好奇研究这张卡，拿在手里又是翻着看又是轻轻转动把玩，看到宝宝好奇的样子我也忍不住笑了。
	
这次也是真切感受到了滴滴在出行体验上藏着的满满用心与温柔。
	
北京的盛夏虽然闷热，但这一段车程里，我们有了属于母子的夏日小乘凉。
	
#带娃出行[话题]# #滴滴夏日小乘凉[话题]# #滴滴香卡[话题]# #滴滴夏季香卡[话题]# #滴滴出行[话题]# #滴滴去往每一种生活[话题]#",19,17,21,3,2026-06-18 13:15:37
699d76ba000000001a03229f,"Agneswang
02-24",https://www.xiaohongshu.com/search_result/699d76ba000000001a03229f?xsec_token=AB0SIpYRzNFp7awiiNM9pDooHTbnVNhqy_KrxmIltXSY4=&xsec_source=,滴滴专车的香氛卡太难闻了,,,,,,
6a0fda60000000003701d2b1,"崽崽和咪
05-22",https://www.xiaohongshu.com/search_result/6a0fda60000000003701d2b1?xsec_token=AB6UF5vgdFHevwpJid0MVhKP-r5CK21vKkh7QwTvFwYnA=&xsec_source=,滴滴出行,,,,,,
6a30c440000000001603d7ed,"大新嘚啵嘚
2天前",https://www.xiaohongshu.com/search_result/6a30c440000000001603d7ed?xsec_token=ABHjxo2n_Xyv2atf9j6gRRU651yQSmWc6fplxtAkeSZys=&xsec_source=,滴滴出行又送给我一大堆香片 #网约车司机 #,,,,,,
693e8704000000001e036ee8,"土豆面包块
2025-12-14",https://www.xiaohongshu.com/search_result/693e8704000000001e036ee8?xsec_token=ABaFzQqwY5eQol5od6U3a1DKhL8zTDR7FzrodIUuJAM5Q=&xsec_source=,如果你知道我打到了香车🚗你也会觉得我命好,,,,,,
69faa2e60000000022026241,"香菜攻击
05-06",https://www.xiaohongshu.com/search_result/69faa2e60000000022026241?xsec_token=AB8wlHdfw0O0ZRGNfVJP6wddkOkZpSaKoyuiV4zjHOQRo=&xsec_source=,坐滴滴领到武汉文旅✖️滴滴的香薰片,,,,,,
6a0d339f000000003501c295,"开滴滴的小姨婆
05-20",https://www.xiaohongshu.com/search_result/6a0d339f000000003501c295?xsec_token=AB2moOxHMH6X3D07k7Ttv6mEe4oe_8Gw0yfsJBiPnPgvM=&xsec_source=,,,,,,,
6a0b1eec0000000036033754,"三柒丶
05-18",https://www.xiaohongshu.com/search_result/6a0b1eec0000000036033754?xsec_token=ABFNBwoR_tosH8kI51KUQvqEM_JD6iJnFUxkkQRMt0eSE=&xsec_source=,滴滴司庆全员礼,,,,,,
69ed1530000000003601ea11,"宣炫宇
04-26",https://www.xiaohongshu.com/search_result/69ed1530000000003601ea11?xsec_token=ABqlK_6nfHbK4ic_3aKOjgR3RkoQekcvdhoDoC5IAtGB4=&xsec_source=,高价回收滴滴专车香卡,,,,,,
