笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
69c57514000000001d01de5b,"饼饼饼饼
04-09",https://www.xiaohongshu.com/search_result/69c57514000000001d01de5b?xsec_token=ABx2MJNBE2of0u9BcMxmrPt5buNPTA_KUl88AzsyiCXDI=&xsec_source=,滴滴豪华车退步了,,,,,,
6a17fe2c000000003502f46e,"Le vent se leve
05-28",https://www.xiaohongshu.com/search_result/6a17fe2c000000003502f46e?xsec_token=ABuxztNg5iJOWy2lqlF3nYvDhtu1GAeV5VQLqEbyjuuxY=&xsec_source=,有些专车豪华车比快车的服务就多了那两瓶水,,,,,,
69f317560000000010001c00,"小红薯69D1A089
04-30",https://www.xiaohongshu.com/search_result/69f317560000000010001c00?xsec_token=ABeeqtcdj2JZiVkcSmAG1FF42jAEKxr1HMfvvA0XXI50A=&xsec_source=,滴滴豪华车 我就请问了 影响一天好心情！,,,,,,
692939b6000000001d03ede0,"国家地理旅行者
2025-11-28",https://www.xiaohongshu.com/search_result/692939b6000000001d03ede0?xsec_token=ABXVtYJ6avz-Aqz2MqMu0JadbxlFfP4wNeXLCaXvnsl7E=&xsec_source=,30万人看过的设置自己为陛下后续来了,,,,,,
68aeeb81000000001d0047b2,"风吹草摇
2025-08-27",https://www.xiaohongshu.com/search_result/68aeeb81000000001d0047b2?xsec_token=ABk3030gH-2yC1NyajyN3qXYyqI8kMuzL0gK74efMGOPU=&xsec_source=,滴滴豪华车,,,,,,
6a0b2c92000000003501eb92,"朱汁文
05-18",https://www.xiaohongshu.com/search_result/6a0b2c92000000003501eb92?xsec_token=ABFNBwoR_tosH8kI51KUQvqD4reuGiERnazcMqJkMzdHI=&xsec_source=,打到黄仁勋在什刹海的迈巴赫了,,,,,,
69834f31000000000b0136bd,"DearSsss
02-04",https://www.xiaohongshu.com/search_result/69834f31000000000b0136bd?xsec_token=ABCgjAeb4pHPN8SfR5Tnh2VLffmSDNCIhJIUabRCiP-Dc=&xsec_source=,滴滴豪华车开出“彩蛋”啦,,,,,,
68c100ae000000001b033520,"你说的&
2025-09-10",https://www.xiaohongshu.com/search_result/68c100ae000000001b033520?xsec_token=AB0dNAfoMV2czR1kMraCTk_4m8DPy0kQxH_nSrcTzS1y8=&xsec_source=,滴滴面经——豪华车渠道运营,,,,,,
68e0dbb50000000005013311,"Roman
2025-10-04",https://www.xiaohongshu.com/search_result/68e0dbb50000000005013311?xsec_token=ABF1Ljnq9pzLCY7gwJo9uaUrRblFhsSbAeT444_7Akobo=&xsec_source=,滴滴豪华车现在是价格高了品质越来越低,,,,,,
68faeaf90000000007000602,"Yang
2025-10-24",https://www.xiaohongshu.com/search_result/68faeaf90000000007000602?xsec_token=ABRSs-jYoio2eNjgcY7DSsc7x8tRPG7OGLgAz3ZIMyqM8=&xsec_source=,北京的豪华车滴滴，果然舒适干净,,,,,,
686fa607000000000b02dbea,"安妮的小胖球
2025-07-10",https://www.xiaohongshu.com/search_result/686fa607000000000b02dbea?xsec_token=ABxzGPQWZ1hZHVoYRtWzu29VyhMHl3ylmHJEhcqcs47IA=&xsec_source=,滴滴一口价叫到保时捷卡宴,,,,,,
