search_keyword,search_url,search_rank,output_rank,filter_sort_by,filter_note_type,filter_publish_time,filter_search_scope,filter_location,page_filter_url,page_filter_selected,page_filter_error,source_url,note_id,xsec_source,preview_title,preview_author,fetch_error,raw_json
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,1,1,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/69c57514000000001d01de5b?xsec_token=ABx2MJNBE2of0u9BcMxmrPt5buNPTA_KUl88AzsyiCXDI=&xsec_source=,69c57514000000001d01de5b,,滴滴豪华车退步了,"饼饼饼饼
04-09","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,2,2,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/6a17fe2c000000003502f46e?xsec_token=ABuxztNg5iJOWy2lqlF3nYvDhtu1GAeV5VQLqEbyjuuxY=&xsec_source=,6a17fe2c000000003502f46e,,有些专车豪华车比快车的服务就多了那两瓶水,"Le vent se leve
05-28","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,3,3,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/69f317560000000010001c00?xsec_token=ABeeqtcdj2JZiVkcSmAG1FF42jAEKxr1HMfvvA0XXI50A=&xsec_source=,69f317560000000010001c00,,滴滴豪华车 我就请问了 影响一天好心情！,"小红薯69D1A089
04-30","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,4,4,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/692939b6000000001d03ede0?xsec_token=ABXVtYJ6avz-Aqz2MqMu0JadbxlFfP4wNeXLCaXvnsl7E=&xsec_source=,692939b6000000001d03ede0,,30万人看过的设置自己为陛下后续来了,"国家地理旅行者
2025-11-28","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,5,5,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/68aeeb81000000001d0047b2?xsec_token=ABk3030gH-2yC1NyajyN3qXYyqI8kMuzL0gK74efMGOPU=&xsec_source=,68aeeb81000000001d0047b2,,滴滴豪华车,"风吹草摇
2025-08-27","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,6,6,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/6a0b2c92000000003501eb92?xsec_token=ABFNBwoR_tosH8kI51KUQvqD4reuGiERnazcMqJkMzdHI=&xsec_source=,6a0b2c92000000003501eb92,,打到黄仁勋在什刹海的迈巴赫了,"朱汁文
05-18","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,7,7,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/69834f31000000000b0136bd?xsec_token=ABCgjAeb4pHPN8SfR5Tnh2VLffmSDNCIhJIUabRCiP-Dc=&xsec_source=,69834f31000000000b0136bd,,滴滴豪华车开出“彩蛋”啦,"DearSsss
02-04","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,8,8,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/68c100ae000000001b033520?xsec_token=AB0dNAfoMV2czR1kMraCTk_4m8DPy0kQxH_nSrcTzS1y8=&xsec_source=,68c100ae000000001b033520,,滴滴面经——豪华车渠道运营,"你说的&
2025-09-10","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,9,9,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/68e0dbb50000000005013311?xsec_token=ABF1Ljnq9pzLCY7gwJo9uaUrRblFhsSbAeT444_7Akobo=&xsec_source=,68e0dbb50000000005013311,,滴滴豪华车现在是价格高了品质越来越低,"Roman
2025-10-04","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,10,10,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/68faeaf90000000007000602?xsec_token=ABRSs-jYoio2eNjgcY7DSsc7x8tRPG7OGLgAz3ZIMyqM8=&xsec_source=,68faeaf90000000007000602,,北京的豪华车滴滴，果然舒适干净,"Yang
2025-10-24","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,11,11,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/686fa607000000000b02dbea?xsec_token=ABxzGPQWZ1hZHVoYRtWzu29VyhMHl3ylmHJEhcqcs47IA=&xsec_source=,686fa607000000000b02dbea,,滴滴一口价叫到保时捷卡宴,"安妮的小胖球
2025-07-10","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,12,12,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/697ac489000000001a034282?xsec_token=ABB7hsrN9QP9ojuwwgg90tSgbcKLEDMG3l531UjIvEJns=&xsec_source=,697ac489000000001a034282,,笑不活了哈哈哈哈哈哈哈哈哈哈哈,"心碎锅包肉
01-29","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,13,13,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/688efaef000000002500e2c2?xsec_token=ABDrBUE-DaG4xDH6oZeb-MHjoQIH63Em_NP2kNJsbDVMs=&xsec_source=,688efaef000000002500e2c2,,不小心打车打到豪华车,"kubn
2025-08-03","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,14,14,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/68a7ffc2000000001b03e2cc?xsec_token=ABe_MjxoK2lZ4HCR1J6DvPt570paCLrMnm-BIV8XbjXac=&xsec_source=,68a7ffc2000000001b03e2cc,,滴滴豪华车 你让我痛心到睡不了觉！,"哑耕
2025-08-22","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴豪华车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed,15,15,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%B1%AA%E5%8D%8E%E8%BD%A6&source=web_explore_feed&type=51,,,https://www.xiaohongshu.com/search_result/698acc46000000001a01fe28?xsec_token=ABXd9R5pXEEDRuw3jFRmNqScMmHMpSODqAmBH5wwEDV_M=&xsec_source=,698acc46000000001a01fe28,,,"健康幸福大美女
02-10","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
