笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
6a0c56710000000006037e6f,"滴滴拼车
05-19",https://www.xiaohongshu.com/search_result/6a0c56710000000006037e6f?xsec_token=ABESFRLs6wurMMh6tudR8dbEkLX1VK4Bq7-C1RlMCZVfI=&xsec_source=,周二 快来拼车拼好运！,,,,,,
6a2ba9f60000000016024d05,"阿里啦啦啦
5天前",https://www.xiaohongshu.com/search_result/6a2ba9f60000000016024d05?xsec_token=AB4jZTlrUrzbWpDAWdfxQbKd7Et9rSK0X2ndjYKu9nSOM=&xsec_source=,滴滴顺风车,,,,,,
69ce48ed000000001b02391b,"秋宁安🍂
04-02",https://www.xiaohongshu.com/search_result/69ce48ed000000001b02391b?xsec_token=ABYUwqVln-a3VKxf4sbm9aNFTq8IbqdCzUe7fXTKQtl0k=&xsec_source=,滴滴打车真的无语 什么鬼 乱收费,,,,,,
6960b3e70000000022023239,"A🐰萝莉啰嗦
01-09",https://www.xiaohongshu.com/search_result/6960b3e70000000022023239?xsec_token=AB6iWOTymMhFOvQu-EaLMltLtAHXtFFjJWSFAMMbawxp0=&xsec_source=,滴滴极速拼车,,,,,,
69ae38c4000000002801fb37,"九號精靈
03-09",https://www.xiaohongshu.com/search_result/69ae38c4000000002801fb37?xsec_token=ABm0FjPQQOC6_-XNo7m28TO1TofPfWOh6KNQg5t6jdlO4=&xsec_source=,为什么滴滴司机不喜欢接远距离拼车单？,,,,,,
69cf0d3d0000000023013726,"momo
04-03",https://www.xiaohongshu.com/search_result/69cf0d3d0000000023013726?xsec_token=AB074VRZ4wnsYGaW0r9pLWDA50OH-jjVWYCCFrZybAbRk=&xsec_source=,滴滴拼车，为了不让拼成功，有多努力,,,,,,
6a057657000000000702b532,"滴滴拼车
05-14",https://www.xiaohongshu.com/search_result/6a057657000000000702b532?xsec_token=ABJR2Mbrzz2Pq9xjQS_sgiozf_uFJaK80f7WgAsIeTdTs=&xsec_source=,🥳感觉本实习生运营这个账号超幸运的！,,,,,,
6a2e3aa00000000006035538,"kww
4天前",https://www.xiaohongshu.com/search_result/6a2e3aa00000000006035538?xsec_token=ABIW9xe49g9-32HF9LoLC9nh8cQyTjIsPG8PEzm9kzH0o=&xsec_source=,滴滴夜间打车遇司机似乎刻意等红灯…,,,,,,
69c2436200000000210056d8,"北辰
03-24",https://www.xiaohongshu.com/search_result/69c2436200000000210056d8?xsec_token=ABwhAlYKe3NvUzkz1AH2HhDX6bQ7943RO3d-crmDVOSnQ=&xsec_source=,滴滴拼车,,,,,,
6a1430d30000000037036cf2,"Vivienne McQueen
05-25",https://www.xiaohongshu.com/search_result/6a1430d30000000037036cf2?xsec_token=ABGo91vlKLHDBUOMszvqTVgT6qv626aha3R7lHjATmbbA=&xsec_source=,气笑了，滴滴拼车你吃相别太难看,,,,,,
6a20de9300000000380351d9,"粉色棉花糖
06-04",https://www.xiaohongshu.com/search_result/6a20de9300000000380351d9?xsec_token=ABuqeh_1Ltbv3Vta1rB3wxvaHDRnapY_bdIxJGAzZUfSA=&xsec_source=,跟隔壁高德学学好吗？我要拼车会自己勾选！,,,,,,
6a1263220000000035028504,"🦄灿
05-24",https://www.xiaohongshu.com/search_result/6a1263220000000035028504?xsec_token=ABVPuHaIhNTEQ0vPbtea-J3jvI7jK19rJar3DZWP9RUF8=&xsec_source=,,,,,,,
