search_keyword,search_url,search_rank,output_rank,filter_sort_by,filter_note_type,filter_publish_time,filter_search_scope,filter_location,page_filter_url,page_filter_selected,page_filter_error,source_url,note_id,xsec_source,preview_title,preview_author,fetch_error,raw_json
滴滴拼车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed,1,1,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6a0c56710000000006037e6f?xsec_token=ABESFRLs6wurMMh6tudR8dbEkLX1VK4Bq7-C1RlMCZVfI=&xsec_source=,6a0c56710000000006037e6f,,周二 快来拼车拼好运！,"滴滴拼车
05-19","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴拼车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed,2,2,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6a2ba9f60000000016024d05?xsec_token=AB4jZTlrUrzbWpDAWdfxQbKd7Et9rSK0X2ndjYKu9nSOM=&xsec_source=,6a2ba9f60000000016024d05,,滴滴顺风车,"阿里啦啦啦
5天前","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴拼车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed,3,3,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69ce48ed000000001b02391b?xsec_token=ABYUwqVln-a3VKxf4sbm9aNFTq8IbqdCzUe7fXTKQtl0k=&xsec_source=,69ce48ed000000001b02391b,,滴滴打车真的无语 什么鬼 乱收费,"秋宁安🍂
04-02","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴拼车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed,4,4,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6960b3e70000000022023239?xsec_token=AB6iWOTymMhFOvQu-EaLMltLtAHXtFFjJWSFAMMbawxp0=&xsec_source=,6960b3e70000000022023239,,滴滴极速拼车,"A🐰萝莉啰嗦
01-09","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴拼车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed,5,5,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69ae38c4000000002801fb37?xsec_token=ABm0FjPQQOC6_-XNo7m28TO1TofPfWOh6KNQg5t6jdlO4=&xsec_source=,69ae38c4000000002801fb37,,为什么滴滴司机不喜欢接远距离拼车单？,"九號精靈
03-09","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴拼车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed,6,6,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69cf0d3d0000000023013726?xsec_token=AB074VRZ4wnsYGaW0r9pLWDA50OH-jjVWYCCFrZybAbRk=&xsec_source=,69cf0d3d0000000023013726,,滴滴拼车，为了不让拼成功，有多努力,"momo
04-03","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴拼车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed,7,7,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6a057657000000000702b532?xsec_token=ABJR2Mbrzz2Pq9xjQS_sgiozf_uFJaK80f7WgAsIeTdTs=&xsec_source=,6a057657000000000702b532,,🥳感觉本实习生运营这个账号超幸运的！,"滴滴拼车
05-14","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴拼车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed,8,8,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6a2e3aa00000000006035538?xsec_token=ABIW9xe49g9-32HF9LoLC9nh8cQyTjIsPG8PEzm9kzH0o=&xsec_source=,6a2e3aa00000000006035538,,滴滴夜间打车遇司机似乎刻意等红灯…,"kww
4天前","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴拼车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed,9,9,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69c2436200000000210056d8?xsec_token=ABwhAlYKe3NvUzkz1AH2HhDX6bQ7943RO3d-crmDVOSnQ=&xsec_source=,69c2436200000000210056d8,,滴滴拼车,"北辰
03-24","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴拼车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed,10,10,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%8B%BC%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6a1430d30000000037036cf2?xsec_token=ABGo91vlKLHDBUOMszvqTVgT6qv626aha3R7lHjATmbbA=&xsec_source=,6a1430d30000000037036cf2,,气笑了，滴滴拼车你吃相别太难看,"Vivienne McQueen
05-25","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
