search_keyword,search_url,search_rank,output_rank,filter_sort_by,filter_note_type,filter_publish_time,filter_search_scope,filter_location,page_filter_url,page_filter_selected,page_filter_error,source_url,note_id,xsec_source,preview_title,preview_author,fetch_error,raw_json
滴滴车站,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed,1,1,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/68c23080000000001d026cd9?xsec_token=AB4wcbuw9yd6VyX5SyLe5rp2-HLxUGYz86JZJBu5sDU-o=&xsec_source=,68c23080000000001d026cd9,,😍滴滴车站来啦✅定位准还有🎫！！！,"肇庆印象汇
2025-09-11","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴车站,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed,2,2,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6971dc36000000000e03f54e?xsec_token=ABDfZyasQuqMaPO2arM8Vlv_ydzliHrvhSOiIwu1LSino=&xsec_source=,6971dc36000000000e03f54e,,滴滴一键叫车 | 让就医打车再简单一点,"滴滴美好出发
01-22","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴车站,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed,3,3,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69cc64b20000000021007f64?xsec_token=ABETTJqrwjrT16xMgC9DNC9C4gLsP-Yo1zuO1lOlNsjVA=&xsec_source=,69cc64b20000000021007f64,,滴滴出行活该赚钱,"龙森Longson
04-01","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴车站,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed,4,4,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/68f8ae7b000000000400265e?xsec_token=ABrCBwLfq5k4FAiCvY5X_WiF1Mx-FeYFaRjDCetttOgY8=&xsec_source=,68f8ae7b000000000400265e,,🚗就医路上的小温暖！,"滴滴美好出发
2025-10-23","{""exceptionId"": 3, ""text"": ""Uncaught"", ""lineNumber"": 0, ""columnNumber"": 7, ""scriptId"": ""117"", ""stackTrace"": {""callFrames"": [{""functionName"": """", ""scriptId"": ""117"", ""url"": """", ""lineNumber"": 0, ""columnNumber"": 7}]}, ""exception"": {""type"": ""object"", ""subtype"": ""error"", ""className"": ""TypeError"", ""description"": ""TypeError: window.mnsv2 is not a function\n    at <anonymous>:1:8"", ""objectId"": ""5712289982113073332.6.2""}}",
滴滴车站,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed,5,5,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/696e1ccd000000002200bdde?xsec_token=ABLlIx-hlJqDIYT6miofiqJInqOIaa0em4CYDUky411J8=&xsec_source=,696e1ccd000000002200bdde,,滴滴都发展成这样了吗,"baby
01-19","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴车站,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed,6,6,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/68e5f71e000000000402342b?xsec_token=AB1YlGWx5hwf5ENpX7PEt6drSMKSpk2WmN2Zx55hDWRfI=&xsec_source=,68e5f71e000000000402342b,,比谁英语好。,"学霸大玩家
2025-10-08","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴车站,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed,7,7,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/695b9799000000000a033e25?xsec_token=AByNXBM0CxTVQQIRGJ1zkb0r2OFROwKUo493_SZBWiPdU=&xsec_source=,695b9799000000000a033e25,,设计｜“莫比乌斯环”车站惊现北京三里屯,"MORE城市新摩力
01-06","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴车站,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed,8,8,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69b536210000000022002dde?xsec_token=ABDxg7SbSHrwyNoyRM9Ia8Uwc-WnT5QuR5bjT5ih99B7E=&xsec_source=,69b536210000000022002dde,,合肥网约车有车站，出租车看了有何感想？,"合肥图说
03-14","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴车站,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed,9,9,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69cf9761000000001b00011c?xsec_token=AB074VRZ4wnsYGaW0r9pLWDKVaNmi204ff4ZCMzEHptJQ=&xsec_source=,69cf9761000000001b00011c,,北京南网约车,"自古对波左边输
04-03","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴车站,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed,10,10,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E8%BD%A6%E7%AB%99&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/696a411b000000001a02557b?xsec_token=AB1_K3MOVrjS7r7jJS1BUHOCT7ucjlDMzq_Xlqf1YOr2E=&xsec_source=,696a411b000000001a02557b,,我们大宁德也太贴心了,"妮大大🎀
01-16","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
