笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
67e7b958000000001c0084f1,"米勒佩奇
2025-10-16",https://www.xiaohongshu.com/search_result/67e7b958000000001c0084f1?xsec_token=AB6vmLMpLqqaVdcL5uBaG7-bkeA2hUdB4KOkPI06-yFsE=&xsec_source=,出海7年，滴滴didi 的海外赚钱履历,,,,,,
693e9d10000000001e0386f7,"洋指南 China Guide
2025-12-14",https://www.xiaohongshu.com/search_result/693e9d10000000001e0386f7?xsec_token=ABaFzQqwY5eQol5od6U3a1DDe7MX-CxyxTbQ-788vmp44=&xsec_source=,Ride-Hailing in China 外国人在中国打车,,,,,,
694ed9d3000000001e02a0ee,"黄橙子🍊
2025-12-28",https://www.xiaohongshu.com/search_result/694ed9d3000000001e02a0ee?xsec_token=ABKVyCa-yd26nEWOUyc5HtvrlAPygIkRXREHXEd8pMiEA=&xsec_source=,,,,,,,
69fc4fce0000000037036623,"Michael
05-07",https://www.xiaohongshu.com/search_result/69fc4fce0000000037036623?xsec_token=ABKEw6rJoD7P_t_LFOu8Kn-oDW_Zpi8NhhyPXsJ_mpjtM=&xsec_source=,滴滴打车海外版挺厉害的👍,,,,,,
6a16b74200000000080008e5,"黛玉工位日记
05-27",https://www.xiaohongshu.com/search_result/6a16b74200000000080008e5?xsec_token=ABsU7WGF7KJwBapCHDg1YDf2tgcW7Xr540Z-mOLvFFH6E=&xsec_source=,每期一家公司职场内幕丨滴滴,,,,,,
697da2b8000000000e00d89e,"Salvatore
01-31",https://www.xiaohongshu.com/search_result/697da2b8000000000e00d89e?xsec_token=ABAeycEzF7YNmk-HNpFQhH7uFVrC2c3exY-K-zV8GTPNw=&xsec_source=,海外滴滴强推！,,,,,,
6928b205000000001e006e6a,"元气少女李逵
2025-11-28",https://www.xiaohongshu.com/search_result/6928b205000000001e006e6a?xsec_token=ABFQXs16ZOepT1MF4xFybaDvtdsUrXFBWGWESyVsewgCM=&xsec_source=,出国在外千万不要使用滴滴国际版！,,,,,,
678dec75000000001d01040a,"滴滴美好出发
2025-01-20",https://www.xiaohongshu.com/search_result/678dec75000000001d01040a?xsec_token=ABVglfOlGdefk_P8Rx_iIWUJJYm7E01qIClulqOpg5jOE=&xsec_source=,任何人不知道出国打车用滴滴我都会伤心的呦,,,,,,
68214ed400000000120002b5,"shellfish
2025-11-08",https://www.xiaohongshu.com/search_result/68214ed400000000120002b5?xsec_token=AB4Mb-B0VKOuSstZ9JwLpzBtnmN3B2oRkFVvEUtiVd5Ak=&xsec_source=,滴滴出行又让我增加知识了,,,,,,
6a2bd252000000001c027636,"滴滴
5天前",https://www.xiaohongshu.com/search_result/6a2bd252000000001c027636?xsec_token=AB4jZTlrUrzbWpDAWdfxQbKQHMN4hqfENmrTutwnT22Oc=&xsec_source=,人在墨西哥？请你打车吃喝,,,,,,
686a5ea5000000001001319f,"Foreigner In China
2025-07-06",https://www.xiaohongshu.com/search_result/686a5ea5000000001001319f?xsec_token=ABUBjlfWKnCf60tT-ues2hdb24ltTMM0RH9Fy4EojYpyg=&xsec_source=,🚕How to Hail a Taxi online in China？,,,,,,
