search_keyword,search_url,search_rank,output_rank,filter_sort_by,filter_note_type,filter_publish_time,filter_search_scope,filter_location,page_filter_url,page_filter_selected,page_filter_error,source_url,note_id,xsec_source,preview_title,preview_author,fetch_error,raw_json
滴滴海外打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed,1,1,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/67e7b958000000001c0084f1?xsec_token=AB6vmLMpLqqaVdcL5uBaG7-bkeA2hUdB4KOkPI06-yFsE=&xsec_source=,67e7b958000000001c0084f1,,出海7年，滴滴didi 的海外赚钱履历,"米勒佩奇
2025-10-16","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴海外打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed,2,2,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/693e9d10000000001e0386f7?xsec_token=ABaFzQqwY5eQol5od6U3a1DDe7MX-CxyxTbQ-788vmp44=&xsec_source=,693e9d10000000001e0386f7,,Ride-Hailing in China 外国人在中国打车,"洋指南 China Guide
2025-12-14","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴海外打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed,3,3,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/694ed9d3000000001e02a0ee?xsec_token=ABKVyCa-yd26nEWOUyc5HtvrlAPygIkRXREHXEd8pMiEA=&xsec_source=,694ed9d3000000001e02a0ee,,,"黄橙子🍊
2025-12-28","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴海外打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed,4,4,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69fc4fce0000000037036623?xsec_token=ABKEw6rJoD7P_t_LFOu8Kn-oDW_Zpi8NhhyPXsJ_mpjtM=&xsec_source=,69fc4fce0000000037036623,,滴滴打车海外版挺厉害的👍,"Michael
05-07","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴海外打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed,5,5,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6a16b74200000000080008e5?xsec_token=ABsU7WGF7KJwBapCHDg1YDf2tgcW7Xr540Z-mOLvFFH6E=&xsec_source=,6a16b74200000000080008e5,,每期一家公司职场内幕丨滴滴,"黛玉工位日记
05-27","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴海外打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed,6,6,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/697da2b8000000000e00d89e?xsec_token=ABAeycEzF7YNmk-HNpFQhH7uFVrC2c3exY-K-zV8GTPNw=&xsec_source=,697da2b8000000000e00d89e,,海外滴滴强推！,"Salvatore
01-31","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴海外打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed,7,7,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6928b205000000001e006e6a?xsec_token=ABFQXs16ZOepT1MF4xFybaDvtdsUrXFBWGWESyVsewgCM=&xsec_source=,6928b205000000001e006e6a,,出国在外千万不要使用滴滴国际版！,"元气少女李逵
2025-11-28","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴海外打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed,8,8,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/678dec75000000001d01040a?xsec_token=ABVglfOlGdefk_P8Rx_iIWUJJYm7E01qIClulqOpg5jOE=&xsec_source=,678dec75000000001d01040a,,任何人不知道出国打车用滴滴我都会伤心的呦,"滴滴美好出发
2025-01-20","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴海外打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed,9,9,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/68214ed400000000120002b5?xsec_token=AB4Mb-B0VKOuSstZ9JwLpzBtnmN3B2oRkFVvEUtiVd5Ak=&xsec_source=,68214ed400000000120002b5,,滴滴出行又让我增加知识了,"shellfish
2025-11-08","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴海外打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed,10,10,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%E6%B5%B7%E5%A4%96%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6a2bd252000000001c027636?xsec_token=AB4jZTlrUrzbWpDAWdfxQbKQHMN4hqfENmrTutwnT22Oc=&xsec_source=,6a2bd252000000001c027636,,人在墨西哥？请你打车吃喝,"滴滴
5天前","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
