笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
6a33850a000000001c02499a,DZRO.,https://www.xiaohongshu.com/search_result/6a33850a000000001c02499a?xsec_token=AB3oib7tH48MvQDiWXZFlvVcZS-VeiIJGpTymUXh8WYTY=&xsec_source=,dd打车根本不注重女乘客的安全！,"如图，今天中午在比较偏远的地区打车。打了很久加价了很多才打到一辆车。因为比较偏，所以特意选择了特快出租车，没有选拼车。
从打到这辆车开始，司机就开始无故绕路，本来等车时间只有五分钟，因为他绕路让我多等了十分钟。
上车后，发现还有两名男性在车上。当时车上加上司机一共是三名男性。因为我是女生所以不敢直接问拼车一事。我的目的地是选择了一个地铁口，司机也并没有把我送到门口，而是在路口就把我放下让我自己走过去。
我认为以上所有事情没有任何一项符合打车的基本要求，所以我在平台选择了投诉。但是我反应司机私自拼车后，平台的反馈是，我可以选择不上车。为什么司机未遵守我的打车要求，后果却是让乘客不上车？本来就地区偏远，我等了十分钟打来的车是拼车，那下一个十分钟谁能保证是我要的车？乘客的十分钟不是十分钟？#出租车[话题]# #网约车[话题]# #司机[话题]# #上下班通勤顺风车[话题]# #大学生出行[话题]# #滴滴出行[话题]# #滴滴司机 [话题]# #投诉平台[话题]# #女性安全问题[话题]#",19,,96,2,2026-06-18 13:41:30
6a37ba54000000001603e74e,夏至未至,https://www.xiaohongshu.com/search_result/6a37ba54000000001603e74e?xsec_token=ABKcpdiNookDSeXJp_XLZsdb4q7AEyF2g7Spn9f9VkD0A=&xsec_source=,滴滴货车拉小狗,投诉货拉拉 我们下单的是特快一对一拉货 ，拉上小狗又配货了 给了高速费50走的五环，从我们这里走才30 ，也没给开空调 打客服电话也不接#坐车的小狗[话题]# #带小狗回家[话题]##滴滴[话题]# #货拉拉车[话题]#,3,,2,,2026-06-21 18:17:56
6a34d405000000001101592c,瑞幸卡洛米,https://www.xiaohongshu.com/search_result/6a34d405000000001101592c?xsec_token=ABdaQY6AecABtGSye1LTp9Zbn-y4fQ7x8P7ceAhBJjTCE=&xsec_source=,,这年头滴滴特快出岛都拒载，说只能送地铁站，大学城这种司机你怎么不上天啊，隔这赚钱恶心人呢#广州大学城[话题]# #滴滴出行[话题]#,5,1,9,,2026-06-19 13:30:45
6a33c7db0000000017009115,lvlvlvlvlvlvlv,https://www.xiaohongshu.com/search_result/6a33c7db0000000017009115?xsec_token=AB3oib7tH48MvQDiWXZFlvVSwR_qF4UdKS5KrJ3q3J0d8=&xsec_source=,网约车这个预估价和实付也差太多了吧,滴滴特快这么贵的吗[石化R],,1,11,,2026-06-18 18:26:35
6a31e080000000001101e74d,人工不是客服,https://www.xiaohongshu.com/search_result/6a31e080000000001101e74d?xsec_token=ABzo91c7VIfdppP7FCZM7bRJfnHPGqO-WG2M6uclPU3cQ=&xsec_source=,,雨一直下，从鲁谷到建国饭店最贵的滴滴特快是61，滴滴拼车是37。选贵的错不了，你不相信你随便打车试一下。,,,2,,2026-06-17 07:47:13
6a37d754000000000f0147d9,小7小9,https://www.xiaohongshu.com/search_result/6a37d754000000000f0147d9?xsec_token=ABKcpdiNookDSeXJp_XLZsdYI_ACjcv3yIfdLoHtOOnAs=&xsec_source=,反正闲着在家 不如滴滴送货（第112天）,"端午节最后一天，货物单一般般呀，顺风车奖励也还有，凑合凑合～
	
总结一下：
共计三单，滴滴1高德顺风车1哈啰送货1，收入111.81元，滴滴抽了我一杯瑞幸[哭惹R][哭惹R][哭惹R]，9.28元差不多22%这抽成比小拉高呀，有没有人管管。
	
11:14第一单，滴滴接到单取件很近，东西也不大，后备箱可以放，就是…珞璜有阴影呀[失望R]，上次才罚100扣3分，限速60的时候一定一定慢慢开！
	
送达后上个厕所，然后立马找回程的顺风车，好快远离这里…
	
12:45顺风车，开了20分钟过去接，加上平台的各种奖励，神客支付的也比我多5块钱，资本呀[扶墙R][扶墙R][扶墙R][扶墙R][扶墙R]，赚钱真开心。
	
14:00左右路过家附近索性回家了，煮了方便面➕了致死量#香菜[话题]# ，吃饱饱。小7心疼我，叫我收车休息嘿嘿[偷笑R][偷笑R][偷笑R]。
	
差不多掐着点去接小7下班，在看顺风车来着～看到哈啰有单送货，30公里35圆子还行还行。送完之后去接小7也差不多下班，正正好[派对R][派对R][派对R][派对R]。
#滴滴快送[话题]# #小拉出行[话题]# #女司机[话题]# #零跑T03[话题]# #全城配送[话题]# #通勤上下班[话题]# #接对象下班[话题]#",2,,1,,2026-06-21 20:21:40
6a30ea9b0000000015026aa6,scarlettlau,https://www.xiaohongshu.com/search_result/6a30ea9b0000000015026aa6?xsec_token=ABHjxo2n_Xyv2atf9j6gRRU4_ArnZ6EJZtZnXejPqYqrU=&xsec_source=,,#滴滴一口价避坑[话题]#,,,2,,2026-06-16 14:18:03
6a314407000000002201b5cc,记录生活的路人甲滴滴师傅,https://www.xiaohongshu.com/search_result/6a314407000000002201b5cc?xsec_token=ABzo91c7VIfdppP7FCZM7bRLmfN7Wx8cCmTvxtEtVg4T4=&xsec_source=,滴滴师傅:不演了，同一张单两个价很正常的,"[偷笑R]
同一张订单，同一个起点和终点
两个价格[大笑R]不奇怪，
公里数却变了（全程）[喝奶茶R][喝奶茶R]
	
[微笑R]我为什么忍不住吐槽同行，
非要没苦硬吃【帮滴滴跑 [doge]随心接[doge]】
	
——《我埋怨的点，说人话:
明明*特惠订单，已经是90%滴滴师傅心里勉强能接受的底价了，却偏偏输给那10%的内卷同行》
[抠鼻R]是真不知道，乘客给平台本来就这么多？
抽一部分佣金，再分给师傅。
[偷笑R]随心接有师傅啃，那干嘛还给特惠呢？？
[抠鼻R]还是假装不知道？同一张单，没师傅啃是真会变类型？？
就这么恶狗抢💩？？饥不择食？？
就为了那点钱？？？而且是明摆着少挣了的[大笑R][大笑R][大笑R]
【例如:  21公里，乘客只给了35元（叠优惠价更低/ 别的平台挖来的单更更低），
随心接一口价24元。 特惠25元 。 快车28元__[微笑R]特惠/快车/特快，都会因为堵车～时间多多少少补几毛/几元。
[doge][doge]最终还不是平台吃大头？？？】
[微笑R]随心接一口价，同一张单（21公里）跑40分钟和跑70分钟，价格是不会动一分一毫的。
谁敢保证路上不会堵车？突发拥堵？？
[喝奶茶R][喝奶茶R]当然，40分钟能跑完21公里挣24，
还能偷着乐，如果多花10分钟，多花30分钟？？？？真的真的真的挣了吗！？[doge]
还得平台善良*不偷公里数，不是别家买来的超低价第三方订单[doge][doge]
	
[抠鼻R][抠鼻R]真的图什么呢？？？
车子磨损，保养，充电是真不用钱的？上路时真不会爆胎？！  __都不扯生活开支了。。
就喜欢每天开车出门帮平台赚钱，自己赚的还没平台多。
[喝奶茶R]租车？？只要有钱进账就行？？当我没说。。。尊重但无法理解[偷笑R][偷笑R][偷笑R]
	
平台之间互相卷低价，
同行卷得更卖力[大笑R][大笑R][大笑R]
这个行业，就是这么一步步沦为四不像。。
	
大环境越来越差[微笑R]
谁都不容易，不管生存还是挣钱。
但，真有必要这么内卷他人苦了自己！？
真就“伤敌一千，自损八百”
	
我从不指望这个行业团结。
但真心架不住同行[抠鼻R][抠鼻R]把这个行业越做越难（烂）
尤其每当遇到暴雨天，随心接一出来就秒抢的同行，只能说注意安全吧。我反正宁可继续坐车里等雨停。
	
[偷笑R]而我？选择咸鱼摸鱼上班
能挣多少，平台算计得明明白白，怎么都不会多给。该下班立马下班。
	
————
以上纯个人吐槽",2,,29,,2026-06-16 20:39:35
6a34a9ea0000000008024ebd,梨落在草地,https://www.xiaohongshu.com/search_result/6a34a9ea0000000008024ebd?xsec_token=ABdaQY6AecABtGSye1LTp9ZXYs90aYkaCuk5w_x-ZUV9s=&xsec_source=,滴滴国际化业务，策运数据分析方向,"帮组内招，简历发我邮箱就行，下周可安排面试，推进进度快
	
帮组里找个策略运营/数据分析转正实习
【有hc 有hc 有hc！】不要太离谱都能转正
岗位是滴滴IBG事业部，国际化方向，策略运营-数据分析方向。实习期间主做数据分析，转正后主做策略中台。实习期间主要工作内容是搭建数据看报，输出各类报表和专题分析报告。
Base北京。硬性要求为27届应届毕业生，会sql，精通excel，英语好（需要和巴西人视频通话开会，比如他们会质疑你的数不对，然后你要用英语解释为什么会这样）
官方JD请看图二#互联网大厂实习[话题]# #实习生内推[话题]# #留学生求职[话题]# #令人心动的实习日记[话题]#",54,57,12,27,2026-06-19 10:31:07
6a34cf0600000000060203ff,小青菜,https://www.xiaohongshu.com/search_result/6a34cf0600000000060203ff?xsec_token=ABdaQY6AecABtGSye1LTp9ZX3iGO_ycg_cYVDh9Waed-Y=&xsec_source=,成都打不到车,"成都这两天打车好难 滴滴和高德打车很多人在排队 还一直排不上 排上也打不到车 昨天跟朋友出去玩两个人都喊不到 最后坐了公交+地铁 今天我赶✈️死活不给我派车[哭惹R][哭惹R] 快车 专车 特快 6座车 出租车选上都打不到  最后大路上硬拦了一辆有乘客的出租车🚕  你这样干我很伤心好吗[生气R][生气R] 你们都是怎么打到车的啊[可怜R][可怜R]
#打不到车[话题]##成都没车[话题]##成都打不到车[话题]##滴滴打车[话题]##高德打车[话题]# #小拉出行[话题]# #网约车[话题]#",,,26,,2026-06-19 13:09:26
