笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
69788d4800000000090388f9,"钢钉来了
01-27",https://www.xiaohongshu.com/search_result/69788d4800000000090388f9?xsec_token=ABdzHT35wgdetk6dVGVLZYy4tAgeCIS6QmiyDMvYoGzCY=&xsec_source=,滴滴的AI叫车真的很好用,,,,,,
68ff568a000000000301b77b,"爱思考的产品凯文
2025-10-27",https://www.xiaohongshu.com/search_result/68ff568a000000000301b77b?xsec_token=ABxHYlUH1dXP7HIXrQu3XRcfZa6L61a7KqOf_YUD33nmI=&xsec_source=,滴滴-ai叫车功能 产品思考,,,,,,
68d50923000000001301ef84,"四木相对论 AI版
2025-09-25",https://www.xiaohongshu.com/search_result/68d50923000000001301ef84?xsec_token=AB2bd1ZCtdPM0zQkIOjwqA5MAX44qzF_o-XtEwXkLtTyo=&xsec_source=,实测滴滴AI：打车更累了，已疯,,,,,,
6969eff70000000021031895,"Libin
01-16",https://www.xiaohongshu.com/search_result/6969eff70000000021031895?xsec_token=ABDmTSeT8FbgIEVm6InHkU4Wc3LgXtMvVAUQe52u_R5Ok=&xsec_source=,滴滴AI叫车体验,,,,,,
69c751da00000000230044e4,"Kathy.H
03-28",https://www.xiaohongshu.com/search_result/69c751da00000000230044e4?xsec_token=ABhihX3hhzkLqQWjyGgiFuAiFS_JyDWsooRYQEae70SEw=&xsec_source=,被滴滴的Ai打车种草了,,,,,,
6a37e988000000001702873b,"设计师热风
昨天 21:39",https://www.xiaohongshu.com/search_result/6a37e988000000001702873b?xsec_token=ABKcpdiNookDSeXJp_XLZsdTW31Swzh1V5CN2gQ2BK3bI=&xsec_source=,AI打车体验分析,,,,,,
69bd259100000000220017d1,"冷叔笔记
03-20",https://www.xiaohongshu.com/search_result/69bd259100000000220017d1?xsec_token=ABRSu0HIQfvEixI5vVSvv6ePLEz9vssOg0iOeI5YDCSKM=&xsec_source=,滴滴AI上线，打车不再抽盲盒像点菜那么简单,,,,,,
69ef0b86000000002301dc91,"噗噗
04-27",https://www.xiaohongshu.com/search_result/69ef0b86000000002301dc91?xsec_token=AB8p0SYY1V5mgkmzEpkakNi7XWxALU40k0HG1KrHmkbjc=&xsec_source=,,,,,,,
6989e5e00000000015031b36,"这里有个小红帽
02-09",https://www.xiaohongshu.com/search_result/6989e5e00000000015031b36?xsec_token=ABZgow9m1w5BS221hAsePYQFhoz3Fye4wmfQa1kYOHLic=&xsec_source=,滴滴AI是疯了吗，编造虚假打车,,,,,,
68d516d8000000001301c8de,"小太阳苏西
2025-09-25",https://www.xiaohongshu.com/search_result/68d516d8000000001301c8de?xsec_token=AB2bd1ZCtdPM0zQkIOjwqA5Cy9zKqfauWv2hoevyOSsvE=&xsec_source=,先用 agent 的人远离臭车,,,,,,
69edff420000000036019d14,"cookie
04-26",https://www.xiaohongshu.com/search_result/69edff420000000036019d14?xsec_token=ABqlK_6nfHbK4ic_3aKOjgR2uqo8ufGvAMVzBuvFBy6hM=&xsec_source=,谁会有这种需求,,,,,,
6a0d5ff00000000008030169,"老宋AI实验室
05-20",https://www.xiaohongshu.com/search_result/6a0d5ff00000000008030169?xsec_token=AB2moOxHMH6X3D07k7Ttv6mP2-6r4voCE-oeJMpzEgh-I=&xsec_source=,Ai打车真的挺鸡肋的……,,,,,,
