search_keyword,search_url,search_rank,output_rank,filter_sort_by,filter_note_type,filter_publish_time,filter_search_scope,filter_location,page_filter_url,page_filter_selected,page_filter_error,source_url,note_id,xsec_source,preview_title,preview_author,fetch_error,raw_json
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,1,1,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69788d4800000000090388f9?xsec_token=ABdzHT35wgdetk6dVGVLZYy4tAgeCIS6QmiyDMvYoGzCY=&xsec_source=,69788d4800000000090388f9,,滴滴的AI叫车真的很好用,"钢钉来了
01-27","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,2,2,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/68ff568a000000000301b77b?xsec_token=ABxHYlUH1dXP7HIXrQu3XRcfZa6L61a7KqOf_YUD33nmI=&xsec_source=,68ff568a000000000301b77b,,滴滴-ai叫车功能 产品思考,"爱思考的产品凯文
2025-10-27","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,3,3,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/68d50923000000001301ef84?xsec_token=AB2bd1ZCtdPM0zQkIOjwqA5MAX44qzF_o-XtEwXkLtTyo=&xsec_source=,68d50923000000001301ef84,,实测滴滴AI：打车更累了，已疯,"四木相对论 AI版
2025-09-25","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,4,4,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6969eff70000000021031895?xsec_token=ABDmTSeT8FbgIEVm6InHkU4Wc3LgXtMvVAUQe52u_R5Ok=&xsec_source=,6969eff70000000021031895,,滴滴AI叫车体验,"Libin
01-16","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,5,5,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69c751da00000000230044e4?xsec_token=ABhihX3hhzkLqQWjyGgiFuAiFS_JyDWsooRYQEae70SEw=&xsec_source=,69c751da00000000230044e4,,被滴滴的Ai打车种草了,"Kathy.H
03-28","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,6,6,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6a37e988000000001702873b?xsec_token=ABKcpdiNookDSeXJp_XLZsdTW31Swzh1V5CN2gQ2BK3bI=&xsec_source=,6a37e988000000001702873b,,AI打车体验分析,"设计师热风
昨天 21:39","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,7,7,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69bd259100000000220017d1?xsec_token=ABRSu0HIQfvEixI5vVSvv6ePLEz9vssOg0iOeI5YDCSKM=&xsec_source=,69bd259100000000220017d1,,滴滴AI上线，打车不再抽盲盒像点菜那么简单,"冷叔笔记
03-20","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,8,8,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69ef0b86000000002301dc91?xsec_token=AB8p0SYY1V5mgkmzEpkakNi7XWxALU40k0HG1KrHmkbjc=&xsec_source=,69ef0b86000000002301dc91,,,"噗噗
04-27","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,9,9,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6989e5e00000000015031b36?xsec_token=ABZgow9m1w5BS221hAsePYQFhoz3Fye4wmfQa1kYOHLic=&xsec_source=,6989e5e00000000015031b36,,滴滴AI是疯了吗，编造虚假打车,"这里有个小红帽
02-09","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,10,10,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/68d516d8000000001301c8de?xsec_token=AB2bd1ZCtdPM0zQkIOjwqA5Cy9zKqfauWv2hoevyOSsvE=&xsec_source=,68d516d8000000001301c8de,,先用 agent 的人远离臭车,"小太阳苏西
2025-09-25","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,11,11,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69edff420000000036019d14?xsec_token=ABqlK_6nfHbK4ic_3aKOjgR2uqo8ufGvAMVzBuvFBy6hM=&xsec_source=,69edff420000000036019d14,,谁会有这种需求,"cookie
04-26","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,12,12,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/6a0d5ff00000000008030169?xsec_token=AB2moOxHMH6X3D07k7Ttv6mP2-6r4voCE-oeJMpzEgh-I=&xsec_source=,6a0d5ff00000000008030169,,Ai打车真的挺鸡肋的……,"老宋AI实验室
05-20","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,13,13,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69c398ca000000001a02512e?xsec_token=ABHdgsraLI2iNFw__eCecoTL53mj0P_HgidQ4_1buGRjw=&xsec_source=,69c398ca000000001a02512e,,滴滴AI小滴让打车从“能完成”到“都挺好”,"商业数据派
03-25","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
滴滴 AI 打车,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4%20AI%20%E6%89%93%E8%BD%A6&source=web_explore_feed,14,14,综合,不限,一周内,不限,不限,https://www.xiaohongshu.com/search_result_ai?keyword=%E6%BB%B4%E6%BB%B4+AI+%E6%89%93%E8%BD%A6&source=web_explore_feed&type=51,"综合,一周内",,https://www.xiaohongshu.com/search_result/69c124a100000000230130d0?xsec_token=ABCvfk2j9Sl2TyIz3_F_Fll1Gv-vnFobUD53n4Vg1KPaA=&xsec_source=,69c124a100000000230130d0,,,"网易科技
03-24","Browser fetch HTTP 461: {""code"":300013,""success"":true,""msg"":""Too many requests. Try again later."",""data"":{}}",
