笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
6a3513260000000016027c69,"大林Darling
2天前",https://www.xiaohongshu.com/search_result/6a3513260000000016027c69?xsec_token=ABDd5hG3NhZq6FEnRuAryESzzIbS9iIVNjsuj792OPGMI=&xsec_source=,豚曰：不慌不忙，豚顺无忧,,,,,,
6a34ba6d000000000702d66c,"桃了桃了🍑
2天前",https://www.xiaohongshu.com/search_result/6a34ba6d000000000702d66c?xsec_token=ABdaQY6AecABtGSye1LTp9Ze7CHS59ZtA7-Rcmz_gf7jM=&xsec_source=,这款彩蛋车请滴滴永久保留,,,,,,
6a34cc270000000008031223,"桃酥碎碎安
2天前",https://www.xiaohongshu.com/search_result/6a34cc270000000008031223?xsec_token=ABdaQY6AecABtGSye1LTp9ZfM5UTB0VB-LCIQ30flboOc=&xsec_source=,允许一切发生，除了错过这辆车,,,,,,
6a33d0b700000000080265a7,"滴滴青桔
3天前",https://www.xiaohongshu.com/search_result/6a33d0b700000000080265a7?xsec_token=AB3oib7tH48MvQDiWXZFlvVca2p50QBs8jLTzIu-68s5U=&xsec_source=,卡皮巴拉小黄豚今夏联名上线,,,,,,
6a3502e90000000017029254,"一问
2天前",https://www.xiaohongshu.com/search_result/6a3502e90000000017029254?xsec_token=ABDd5hG3NhZq6FEnRuAryES48iGSKL1yUJ5cXPdcQxtOw=&xsec_source=,没想到娃现在打车只认卡皮巴拉,,,,,,
6a34a38d000000000f01cc1e,"小白羊驼驼吨吨饮水
2天前",https://www.xiaohongshu.com/search_result/6a34a38d000000000f01cc1e?xsec_token=ABdaQY6AecABtGSye1LTp9ZfmUflAW9TzRDtQ7hGMUUis=&xsec_source=,居然和一辆车撞衫了,,,,,,
6a36563d000000000f00612c,"脆脆桃🍑
昨天 11:28",https://www.xiaohongshu.com/search_result/6a36563d000000000f00612c?xsec_token=ABJoE-mZxZnBNmIc4i_lT6xTLqfEOgOc31mysT4Iboy0M=&xsec_source=,成年人的快乐就是这么简单,,,,,,
6a3229cc000000001c026c45,"小Q在北京吃喝玩乐
3天前",https://www.xiaohongshu.com/search_result/6a3229cc000000001c026c45?xsec_token=ABNV3U1l6kOI0X3OTrYVszJCMSAe9CVUNS6xkUbhou9bA=&xsec_source=,啊啊啊！在北京！打到足球痛车了🚗⚽️,,,,,,
6a325ea0000000001702ed50,"椰奶冻熊
4天前",https://www.xiaohongshu.com/search_result/6a325ea0000000001702ed50?xsec_token=ABNV3U1l6kOI0X3OTrYVszJKM5IUHVbt0_pUGe9aE40iI=&xsec_source=,别逗我笑了,,,,,,
6a2fb561000000000f0054e5,"张小炜
6天前",https://www.xiaohongshu.com/search_result/6a2fb561000000000f0054e5?xsec_token=ABhGbQODwEeSju5NLYBKEUKqQSYFMVs3AODZ0zp-YNkn4=&xsec_source=,第一次坐专车！,,,,,,
6a37952100000000220144a2,"人犯规
昨天 15:39",https://www.xiaohongshu.com/search_result/6a37952100000000220144a2?xsec_token=ABKcpdiNookDSeXJp_XLZsdTCyY2ManoSOp9AVABtIRCE=&xsec_source=,滴滴是真阴呐,,,,,,
6a310bd6000000001503cc10,"鱿鱼丝一种天赋
1天前",https://www.xiaohongshu.com/search_result/6a310bd6000000001503cc10?xsec_token=ABzo91c7VIfdppP7FCZM7bRPSgj1XVCclvCQ22BUbU_LU=&xsec_source=,刷到王菲的采访，我把打车默认设成了她计划,,,,,,
6a2face5000000000702de9d,"保护膝盖人人有责
6天前",https://www.xiaohongshu.com/search_result/6a2face5000000000702de9d?xsec_token=ABhGbQODwEeSju5NLYBKEUKmeJ43GCrluSajZl82R6TN4=&xsec_source=,滴滴宠物打到臭车,,,,,,
6a379f8c000000001702fe42,"第五个月亮
昨天 16:23",https://www.xiaohongshu.com/search_result/6a379f8c000000001702fe42?xsec_token=ABKcpdiNookDSeXJp_XLZsdUJwwCXIB7UTUnQ_MFJZRRk=&xsec_source=,滴滴缺钱了？出这种坑人手段,,,,,,
6a32b7f90000000021021f43,"TWOTWO
4天前",https://www.xiaohongshu.com/search_result/6a32b7f90000000021021f43?xsec_token=ABNV3U1l6kOI0X3OTrYVszJBBQmGnySAtoWER-Uo3KerM=&xsec_source=,滴滴打车选女司机实际男司机,,,,,,
6a375fc4000000000803e75e,"就是爱喝苹果汁儿
昨天 13:09",https://www.xiaohongshu.com/search_result/6a375fc4000000000803e75e?xsec_token=ABKcpdiNookDSeXJp_XLZsdXH-cEOarNvD0O8js5rXpOU=&xsec_source=,滴滴司机5.0虚假评分,,,,,,
6a2fdf3d00000000060334e5,"被滴滴司机骂穷
6天前",https://www.xiaohongshu.com/search_result/6a2fdf3d00000000060334e5?xsec_token=ABhGbQODwEeSju5NLYBKEUKlf7d8buGdvVz5jQbADRxs4=&xsec_source=,这就是滴滴吗 关门不让乘客进 说乘客穷,,,,,,
6a33cbd8000000001700aaa2,"是木童不是同
3天前",https://www.xiaohongshu.com/search_result/6a33cbd8000000001700aaa2?xsec_token=AB3oib7tH48MvQDiWXZFlvVbuPhT2Jv0ymiALCnwed3rI=&xsec_source=,找工作最累的其实不是面试,,,,,,
6a3795930000000016025088,"-花花不是花
昨天 15:41",https://www.xiaohongshu.com/search_result/6a3795930000000016025088?xsec_token=ABKcpdiNookDSeXJp_XLZsdQI-19zYWOyw3_W9dookZkw=&xsec_source=,滴滴平台好像把我当傻子了,,,,,,
