笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
7655275493478258810,日行一善积大德、日行两善积积大大德,https://www.douyin.com/video/7655275493478258810,滴滴出行你让人觉得你真的很ex，下大雨，加价之后你到是来车啊，3公里不到，要15块钱，连15都看不上了吗，还不给派车，在外面淋10分钟雨，说实话一年在滴滴花都钱,滴滴出行你让人觉得你真的很ex，下大雨，加价之后你到是来车啊，3公里不到，要15块钱，连15都看不上了吗，还不给派车，在外面淋10分钟雨，说实话一年在滴滴花都钱也不少了吧，v6的会员像沙茶一样在雨里等车，后来加到17元还不派车，我就抱着试一试的态度打的高德，结果人家7块钱就接单了，滴滴你吃相别太难看行不行啊#滴滴出行#高德地图打车,4,0,0,0,2026-06-25 18:18:40
7655268370489666939,老梁说车,https://www.douyin.com/video/7655268370489666939,都说网约车“臭”,都说网约车“臭”！这次我就来一遍最真实的评测～#网约车 #生活 #测评,4,2,0,0,2026-06-25 17:51:02
7655264078328015835,千秋,https://www.douyin.com/video/7655264078328015835,一年零三个月了 蔡师傅 你还恨我吗,一年零三个月了 蔡师傅 你还恨我吗,5,0,2,0,2026-06-25 17:34:23
7655259345144107259,无能猎犬被莫桑比克反复氢饭,https://www.douyin.com/video/7655259345144107259,也是很招了哥们🤣🤣#滴滴奇葩订单,也是很招了哥们🤣🤣#滴滴奇葩订单,20,0,16,7,2026-06-25 17:16:01
7655254451141958116,临界の星空,https://www.douyin.com/video/7655254451141958116,#滴滴美好瞬间,#滴滴美好瞬间,2,0,1,0,2026-06-25 16:57:03
7655251582346399019,心中之城pl,https://www.douyin.com/video/7655251582346399019,竟然有这么多无证运营的网约车,竟然有这么多无证运营的网约车! 你信吗？你打的网约车，大概率是无证运营的“黑车”。#滴滴出行  #花小猪打车 #黑车,3,0,1,0,2026-06-25 16:45:59
7655249873030059429,Dawn,https://www.douyin.com/video/7655249873030059429,#网约车 开始接单起步价6.4，亏个座椅六百四#滴滴司机,#网约车 开始接单起步价6.4，亏个座椅六百四#滴滴司机,2,0,1,0,2026-06-25 16:39:15
7655248785492809329,云墨,https://www.douyin.com/video/7655248785492809329,#真实生活分享计划 #滴滴打车 #顺风车经验分享 #打车踩坑 打滴滴半小时，为了省几块钱，打了个顺风车，没仔细看是拼车，结果中途拼车拼到了一个人，直接在那个人公,#真实生活分享计划 #滴滴打车 #顺风车经验分享 #打车踩坑 打滴滴半小时，为了省几块钱，打了个顺风车，没仔细看是拼车，结果中途拼车拼到了一个人，直接在那个人公司门口等了那个半小时，然后快迟到了，师傅说那走高速快，然后让我们两个人平摊高速费，搞半天一趟下来的顺风车比滴滴钱还贵，坑不坑🕳️，打顺风车千万不要打拼车，因为没有时间限制 。从15：20到16：50才到，整整一个半小时，我都踩点到。坑货……,8,0,7,0,2026-06-25 16:35:03
7655248673212256630,DD✅3K起收（不回私信）,https://www.douyin.com/video/7655248673212256630,废物利用经常用DD的有福啦#滴滴打车 #网约车出租车 #好玩又会省 #出行交通工具,废物利用经常用DD的有福啦#滴滴打车 #网约车出租车 #好玩又会省 #出行交通工具,6,3,6,0,2026-06-25 16:34:36
7655248332713600763,DD✅3K起收（不回私信）,https://www.douyin.com/video/7655248332713600763,废物利用经常用DD的有福啦#滴滴打车 #网约车出租车 #好玩又会省 #出行交通工具推荐,废物利用经常用DD的有福啦#滴滴打车 #网约车出租车 #好玩又会省 #出行交通工具推荐,6,3,6,2,2026-06-25 16:33:17
7655237453351513017,有事钟无艳,https://www.douyin.com/video/7655237453351513017,欢迎收看跑网约车的一天#系好安全带准备出发,欢迎收看跑网约车的一天#系好安全带准备出发,41,0,12,22,2026-06-25 15:51:04
7655234914878860465,@建,https://www.douyin.com/video/7655234914878860465,滴滴美好瞬间,滴滴美好瞬间,4,0,1,0,2026-06-25 15:41:13
7655220093996238464,小北的Vlog日常,https://www.douyin.com/video/7655220093996238464,滴滴专车有点费人，劝退大家跑专车 #抖音热门 #网约车日常 #滴滴专车,滴滴专车有点费人，劝退大家跑专车 #抖音热门 #网约车日常 #滴滴专车,12,0,6,0,2026-06-25 14:43:43
7655216796106203493,中卫的士之音,https://www.douyin.com/video/7655216796106203493,#出租车和网约车 #创作者中心 #创作灵感 #打车费用 #中卫滴滴,#出租车和网约车 #创作者中心 #创作灵感 #打车费用 #中卫滴滴,5,0,1,0,2026-06-25 14:30:55
7655214775581130085,伍珏,https://www.douyin.com/video/7655214775581130085,女司机模式在一线城市居然打不到车,女司机模式在一线城市居然打不到车？！ @DOU+小助手 @抖音小助手 @滴滴出行司机中心官方账号 @滴滴客服-滴滴出行 @滴滴司机服务中心 @滴滴 如果官方看到我的建议的话可以考虑一下吗🥹#滴滴打车 #女司机 #她计划 #一线城市 #女大,2,2,0,0,2026-06-25 14:23:04
7655205667288084401,不期而遇,https://www.douyin.com/video/7655205667288084401,#滴滴美好瞬间,#滴滴美好瞬间,17,0,4,0,2026-06-25 13:47:43
7655205004735146330,寻找大爱,https://www.douyin.com/video/7655205004735146330,#滴滴美好瞬间,#滴滴美好瞬间,37,0,3,0,2026-06-25 13:45:10
7655188202394980346,龙澡居,https://www.douyin.com/video/7655188202394980346,滴滴美好瞬间,滴滴美好瞬间,10,0,3,0,2026-06-25 12:39:57
7655182848601857990,雷哥,https://www.douyin.com/video/7655182848601857990,现在网约车是越来越多了，一天比一天难，#网约车 #滴滴司机 真实流水,现在网约车是越来越多了，一天比一天难，#网约车 #滴滴司机 真实流水,10,1,4,0,2026-06-25 12:19:10
7655166334020674266,新会陈皮(蓝调沙龙东区店)官方号,https://www.douyin.com/video/7655166334020674266,给苏州昨天那个滴滴司机道歉——确实错怪他了,给苏州昨天那个滴滴司机道歉——确实错怪他了！#旅游,3,1,6,0,2026-06-25 11:15:05
7655160075422047986,我也不知道,https://www.douyin.com/video/7655160075422047986,#滴滴美好瞬间,#滴滴美好瞬间,36,0,5,0,2026-06-25 10:50:48
7655158252296278010,毅力,https://www.douyin.com/video/7655158252296278010,#滴滴美好瞬间,#滴滴美好瞬间,22,0,2,0,2026-06-25 10:43:43
7655149359479386107,宝妈,https://www.douyin.com/video/7655149359479386107,六十岁老太太我趁没去旅行前和几个姐妹约好逛街吃饭聊天,六十岁老太太我趁没去旅行前和几个姐妹约好逛街吃饭聊天。不会打车，从微信里找到滴滴打车，从家到万达10.5元，真便宜，以前打出租都是比这滴滴打车贵6元左右，感觉比开车合适多了，开车来进停车场一个小时6元逛一下午都要停车费30多，还是少说的，忽然觉着自己不知道从什么时候开始精打细算会过日子了。,134,1,49,0,2026-06-25 10:09:14
7655148707688730970,寻找大爱,https://www.douyin.com/video/7655148707688730970,#滴滴美好瞬间,#滴滴美好瞬间,39,0,3,0,2026-06-25 10:06:41
7655147888364704747,是大表哥啊,https://www.douyin.com/video/7655147888364704747,#网约车 #网约车司机 #滴滴 #滴滴司机 #滴滴车主,#网约车 #网约车司机 #滴滴 #滴滴司机 #滴滴车主,17,0,15,1,2026-06-25 10:03:31
7655136494000681649,墨雨🐬🐬,https://www.douyin.com/video/7655136494000681649,#滴滴美好瞬间,#滴滴美好瞬间,23,0,12,0,2026-06-25 09:19:18
7655086462039444089,x7,https://www.douyin.com/video/7655086462039444089,滴滴现在给我印象很差了，还是5.0的评分,滴滴现在给我印象很差了，还是5.0的评分。人都不能好好说话了……问我尾数也很凶。#滴滴打车 #真实事件 #滴滴车主,39,1,94,1,2026-06-25 06:05:09
