笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
6a3e30fe000000001c02790e,开森,https://www.xiaohongshu.com/search_result/6a3e30fe000000001c02790e?xsec_token=AB4sCkyJkDrGrB-1MzxRYBUagpgFs2txOcSDDULjKyDnw=&xsec_source=,,"#保护消费者[话题]# #维护自身权益[话题]# #滴滴出行避雷[话题]# #滴滴出行辱骂客人[话题]#
在滴滴平台打车，上车车里有异味，要求开窗户，司机说他开空调了，我说我不怕热，结果司机说他热，我说我花了钱是为了我舒服一点，然后开始辱骂我，我那会不想和他吵我说不行你取消订单，我重新打一个，然后他又开始说什么让我态度好，我说我好好说话着呢，他自己态度不好，又骂我说什么就掏这几块钱啥的，他让我在马路中间下车，那会路上全是车，他就让我下车，我说我在这咋下，他说他不管，说我订的上车位置不好他也停了，我订的地铁口，最后把我扔在路边，下车结束订单然后扣我钱。平台投诉之后一直不给解决方法，点进去就是投诉结束，然后说让我等。现在是啥意思，我掏钱花两分钟让人骂我，然后连人生安全都保护不了，马路中间就让我下车，平台也没有任何解决方法就只扣服务分是这样吗",1,,6,2,2026-06-26 15:57:50
6a4290d800000000160269db,雨田三原,https://www.xiaohongshu.com/search_result/6a4290d800000000160269db?xsec_token=ABQVyUkfWHK_FtFvRGM75pqBaIoXK4ysRIvJ4skOE3kJ0=&xsec_source=,,"这个滴滴咋这么恶心 打的特惠快车用了抵扣券预估价是13块多 结果实际扣费19块多 抵扣券还显示已使用 到底啥意思 找人工客服也是一直排队 打电话根本联系不上人工 真的不想再用滴滴了…
#滴滴打车[话题]# #滴滴[话题]# #滴滴消费欺诈[话题]#",1,,1,,2026-06-29 23:35:52
6a42e6df0000000022014bc9,与夜欢歌,https://www.xiaohongshu.com/search_result/6a42e6df0000000022014bc9?xsec_token=ABQVyUkfWHK_FtFvRGM75pqPOJtRUJNfSUH0385OXfQ7U=&xsec_source=,滴滴打车真的太厉害了,"出去玩打拼车 没走高速让我出高速费 没拼到人让我再给他发一个红包 说自己只送我一个人不赚钱到地方要求我再发50元红包 开头问我是不是本地人 我说是 让我不要说普通话 不然平台能检测到[微笑R]
回来的时候打的车 高速费拿的我的手机付款的  要求我再给他发红包 我没给在结账上把我已经支付过的高速费又算进去了[微笑R]#网约车[话题]# #避雷网约车[话题]# #网约车避雷[话题]# @滴滴打车  不方便开车都是找的你的平台你就是这样管理的吗
整个人都不好了 回来的时候打的车 车上还挂着退役老兵  更膈应了#吐槽[话题]#",4,,7,1,2026-06-30 05:42:55
6a41a90e000000000f033382,瑞曦月,https://www.xiaohongshu.com/search_result/6a41a90e000000000f033382?xsec_token=ABTUt087pbii-qMfog6a9NbMRZiaewWL_cce8lGIajZn8=&xsec_source=,滴滴平台叫“出租车”，大无语🙄,"坐早班飞机出差，预定了一个出租车🚕清晨5点来接，滴滴平台上找的，很多网约车价格超便宜，因为想要机打发票🧾，特意定的出租车🚕。
二十三公里左右，滴滴平台显示66.47元，司机给了机打发票🧾。
回来收拾出差费用准备报销，才发现发票金额只有22元？
滴滴平台客服💁‍♀️表示，线上计价是他们和出租公司新的合作模式，计价会与线下叫车有差别。
无法理解的是：新模式的价格，乘客没有享受到任何优惠，价格与线下叫车一模一样，但机打发票却差距两倍？
如果可以用打印发票（发票信息比机打发票少很多），直接找网约车就可以，价格才四十多元？
滴滴平台客服💁‍♀️特别让人无语🙄！无论你多么不理解，就是反复那一句～很遗憾、很抱歉，解决问题需要五个工作日？
一开始说可以补偿一点乘车券，我不要；他又说可以补偿10元钱，我不要；又叫我等待，有专员电话帮我解决，等到下班也没等到；最后说五个工作日可以开具发票？？
想起乘车时，特意跟司机说，出差需要发票报销，他态度很好，但脸不红的给一张22元的发票🧾？只是一再叮嘱给他五星好评。
这次的教训，真是开眼了！大大的无语😓",3,,9,,2026-06-29 07:06:54
6a410751000000001101fac9,enenenlyq,https://www.xiaohongshu.com/search_result/6a410751000000001101fac9?xsec_token=ABTUt087pbii-qMfog6a9NbGr2oPu1dNJPQBRhSCxngq8=&xsec_source=,海外用滴滴打车投诉无人处理？,"6.20日晚 我看完演唱会从弘大Adidas门口打车回我住的酒店汝夷岛凯富酒店（comfort inn yeouido)因为大家都是看完演唱会到市区弘大附近叫车 叫了很久 都叫不到 然后滴滴叫到了我们就在等
和我一起坐车的是一起看演唱会的搭子 他也住在汝夷岛那边我们就说我们一起走 她再从我的酒店叫车能近一点
	
上车了我们俩都在玩手机 没人注意外面的路 司机开到了一个胡同里面 告诉我们到了 但是我不太认识我酒店附近的路 也感觉不对 我和司机沟通 “不是这里” 他说话我也听不懂 我就准备下车 司机又说他把我拉到路口 左边就是我的酒店了 我看着路长得挺像 我就道谢下车了
	
下车后我打开手机导航 发现离我住的酒店有2.6公里（P3截图）然后第一时间我就去滴滴平台投诉了 上面有我截图的时间 客服也第一时间回复处理 处理结果要给我一张20元优惠券 我不接受 我要求退还车费 后面就在冷处理 没人理我 我每次问就是在处理中 今天下午5.48接到滴滴短信回复说投诉已经处理  同步接到电话客服告诉我 “韩国的司机说把我送到目的地了 ”
我想问一下我多次反馈 第一时间平台投诉 提供截图都无果 司机说把我送到目的地就算处理结果了么？
P6-P7是大半夜我被司机丢在路边后 和朋友吐槽 同时我拿Uber重新叫车回目的地酒店的叫车记录 上面都显示了时间和起始地目的地
（首尔中国🈶1小时时差 可能截图时间有区别）
@滴滴@滴滴@滴滴@滴滴美好出发 @滴滴期待滴滴回复 目前的处理结果我非常不满意 一直在踢皮球 冷处理@滴滴打车#滴滴海外打车[话题]# #滴滴打车[话题]#",22,3,27,5,2026-06-28 19:36:49
6a426c260000000006031292,娱乐小宁,https://www.xiaohongshu.com/search_result/6a426c260000000006031292?xsec_token=ABQVyUkfWHK_FtFvRGM75pqNpK8-o2MWUoG5BWADUBiEw=&xsec_source=,,万万没想到打车居然达打到了警车 #万万没想到[话题]#  #记录真实生活[话题]#  #喜爱度激励计划[话题]#,6069,637,164,285,2026-06-29 20:59:18
6a42ff20000000001603f879,葫鲤葫涂,https://www.xiaohongshu.com/search_result/6a42ff20000000001603f879?xsec_token=ABQVyUkfWHK_FtFvRGM75pqHrNQI7nye0d9Ol1vxqAHOE=&xsec_source=,,以后打车再也不用didi了，每次打车都是两个一起勾选付款时都是最多的，下雨天目的地到楼下都只有100米司机都会说你叫的一口价送不了我们到手只有10块12块的，明明我付款都是20多你们到底提走多少？那我们当冤大头？还有didi的顺风车平台打的独享高速费我全部承担，结果被秒接单全部都是额外加价车费翻了一倍到两倍，在不就有些司机还带着嘲讽的语气阴阳怪气。这dd车费付的多服务又差。#出行交通方式[话题]#,,,5,,2026-06-30 07:26:24
6a3cda71000000000f03210a,momo,https://www.xiaohongshu.com/search_result/6a3cda71000000000f03210a?xsec_token=ABqcB6aplIQNQwxyWBjOCS5ObCnOIEQl1KCrVJK7hliDE=&xsec_source=,滴滴五折互赠券滴滴五折互赠券出行#上下班,"滴滴五折互赠券
滴滴五折互赠券出行#上下班#滴滴出行# 滴滴打车
猜你想搜 | 滴滴五折互赠券领取",2,,92,2,2026-06-25 15:36:17
6a3a7513000000001003e86f,LuckyMomo,https://www.xiaohongshu.com/search_result/6a3a7513000000001003e86f?xsec_token=ABwCUhsa8Mc6DcfeABWEnmewkqbNN9myMSBDF6T26IVVs=&xsec_source=,滴滴五折互赠券（现在来）,#滴滴五折券[话题]# #滴滴出行[话题]#,,,26,,2026-06-23 19:59:16
6a3ffd090000000022009f67,羅🍬摳摳,https://www.xiaohongshu.com/search_result/6a3ffd090000000022009f67?xsec_token=ABv0Z_Vc4P3srAHrbbLSZfmFIlfNmGcYLX1caWcMrHwm8=&xsec_source=,第一次入成都，嗯……，印象没有很好,"坐高铁去的。下了高铁，跟着路标指引去打滴滴，当时到的时候有点晚了，路标指引走了很长一段路到了一个类似商场的地方（应该总共有三楼，我们当时在一楼），因为基本都关门了（当然，也不知道是不是大环境原因永久歇业）。
路标提示，走扶梯，所以当时我们那一小波人，到了二楼，但是没有看到需要继续往上的指示标，我们到了二楼就走进一个拐口，去找路口，发现都是没有路的，一眼就看到尽头了，就很迷茫。
	
幸运的是，有一个拐口的尽头，有几个人在那聊天，他们说我们走错了，建议我们，要么继续乘扶梯上到三楼，要么下到一楼去乘直梯到三楼。 然后我们一小波人才又重新去找路。
我觉得这磨砺两可的指示标，对第一次去的外地人来讲，多少有点迷惑人。
	
到了三楼，月子中心对面或者楼下。我之前都是用滴滴打车，那天好死不死，用了高德地图软件打车（第一次用），我只勾了两种车型，但是我怎么也没想到，来的是出租车。 所以我在等车过程中，一直在看白色的车，对车牌号。直到司机打电话给我，说到了，我说我没看到，他就说，我已经在你面前了，你还没看到？ （当时司机说话的语气并没有很好）
	
但是我觉得是我的问题，所以我就没说什么。 上了行李，坐上车关门的那一瞬间，他问我尾号。因为我在关门，我就没听到，且在我的思维里，一直都是司机报我尾号核对尾号对不对。所以在他说话的时候，我又在关门，就完全没听到。然后他就再问了一遍（这时候的语气就极差了），我就有点懵，然后再抬头看到他手机，是需要输入我尾号的后两位。 我就报了后两位，说了一句你态度好点行不行？ 他用成都话回了一句： 尾号，尾号，你还要我浪子个讲嘛！
	
我……。当然，可能对于成都人来讲的话，这就是一句口头禅，我也有很好的朋友是成都的，也会听他们讲。 但是语气，态度，语境，真的，天差之别。 首先，我个人觉得，成都是个很火热的旅游城市，而公共交通又是最基础也是最重要的一环，他作为一个成都人，又是服务行业，最起码的服务态度得友好吧？",,,26,,2026-06-28 00:40:41
