笔记ID,博主昵称,笔记链接,笔记标题,笔记内容,点赞量,收藏量,评论量,分享量,发布时间
7656598559706334393,阿佳,https://www.douyin.com/video/7656598559706334393,滴滴快车满月机场感想，各种苦楚在难言之隐#网约车 #打车规矩,滴滴快车满月机场感想，各种苦楚在难言之隐#网约车 #打车规矩,9,0,16,0,2026-06-29 07:52:51
7656416634312218809,不爱空放,https://www.douyin.com/video/7656416634312218809,大单就被切，尤其是去机场的容易被切,大单就被切，尤其是去机场的容易被切。#网约车日记 #不开特惠也能接单不停 #北京网约车#网约车 #滴滴司机,305,29,71,20,2026-06-28 20:06:53
7656466304808243099,CD-,https://www.douyin.com/video/7656466304808243099,滴滴纯快车不开特惠一天的流水,滴滴纯快车不开特惠一天的流水。谨慎啊兄弟们#滴滴车主日常 #滴滴快车,10,0,19,0,2026-06-28 23:19:38
7656793250967628864,乘风破浪,https://www.douyin.com/video/7656793250967628864,80后在苏州跑滴滴快车的第11天，今天在常熟跑了一天，晚高峰真是一单都不给#网约车流水分享 #网约车司机接单日常 #网约车司机 #网约车,80后在苏州跑滴滴快车的第11天，今天在常熟跑了一天，晚高峰真是一单都不给#网约车流水分享 #网约车司机接单日常 #网约车司机 #网约车,4,0,2,0,2026-06-29 20:28:21
7656357160141791595,奥迪a7新款,https://www.douyin.com/video/7656357160141791595,私家车怎么申请加入滴滴快车司机,私家车怎么申请加入滴滴快车司机？私家车注册滴滴车主司机 私家车怎么申请加入滴滴快车司机？私家车注册滴滴车主司机需要什么条件#滴滴快车司机#滴滴车主司机注册流程#网约车司机注册,0,1,0,1,2026-06-28 16:16:06
7656097857431397800,深圳网约车东东,https://www.douyin.com/video/7656097857431397800,记录在深圳跑滴滴快车接单的一天#打工人谋生路上 #接不完的订单干不完的活,记录在深圳跑滴滴快车接单的一天#打工人谋生路上 #接不完的订单干不完的活,27,1,13,2,2026-06-27 23:29:53
7656442142042887156,乘风破浪,https://www.douyin.com/video/7656442142042887156,80后在苏州跑滴滴快车的第8天，今天周日，感觉有点被针对了，系统不给单了#网约车司机#网约车流水分享#网约车司机一天#跑滴滴收入稳稳到手#网约车故事,80后在苏州跑滴滴快车的第8天，今天周日，感觉有点被针对了，系统不给单了#网约车司机#网约车流水分享#网约车司机一天#跑滴滴收入稳稳到手#网约车故事,10,0,6,0,2026-06-28 21:45:52
7656020939658847909,勇者无惧,https://www.douyin.com/video/7656020939658847909,#滴滴出行 #滴滴快车#滴滴特惠车 #深圳滴滴， 这位大哥他很给面子，但是我也给着他面子,#滴滴出行 #滴滴快车#滴滴特惠车 #深圳滴滴， 这位大哥他很给面子，但是我也给着他面子,20,2,9,4,2026-06-27 18:31:23
7655404011076135369,开心、,https://www.douyin.com/video/7655404011076135369,在温州跑滴滴快车、一天有多少流水,在温州跑滴滴快车、一天有多少流水？ #滴滴 #滴滴司机 #网约车 #温州网约车 #温州滴滴司机,16,0,22,2,2026-06-26 11:00:51
7656799990811766693,滴滴司机服务中心,https://www.douyin.com/video/7656799990811766693,滴滴出行，清凉一夏 欢迎咱们滴滴快车司机 回公司领取清凉夏日大礼包,"滴滴出行，清凉一夏 欢迎咱们滴滴快车司机
回公司领取清凉夏日大礼包",16,1,6,2,2026-06-29 20:54:30
7656314557124845745,全国网约车注册平台司机之家,https://www.douyin.com/video/7656314557124845745,滴滴快车怎么升级轻享司机 甄选快车 恢复车型分 #滴滴轻享 #滴滴轻享司机 #滴滴甄选 #滴滴升级 #网约车高效接单核心技巧,滴滴快车怎么升级轻享司机 甄选快车 恢复车型分 #滴滴轻享 #滴滴轻享司机 #滴滴甄选 #滴滴升级 #网约车高效接单核心技巧,107,87,222,50,2026-06-28 13:30:47
7654857864536667636,深圳网约车东东,https://www.douyin.com/video/7654857864536667636,在深圳跑网约车真实接单的一天#网约车司机接单日常 #司机真实经历,在深圳跑网约车真实接单的一天#网约车司机接单日常 #司机真实经历,33,2,22,3,2026-06-24 15:18:04
7656131462694389422,开心、,https://www.douyin.com/video/7656131462694389422,在温州跑滴滴快车、一天有多少流水,在温州跑滴滴快车、一天有多少流水？ #滴滴 #滴滴司机 #网约车 #温州网约车 #温州滴滴司机,5,0,8,1,2026-06-28 11:00:49
7657027480536744858,衡阳和亿网约车,https://www.douyin.com/video/7657027480536744858,#手机尾号 #滴滴 #网约车 #滴滴司机 #滴滴快车,#手机尾号 #滴滴 #网约车 #滴滴司机 #滴滴快车,16,1,1,1,2026-06-30 11:37:17
7655683713195714914,乘风破浪,https://www.douyin.com/video/7655683713195714914,#真实生活记录 80后在苏州只跑滴滴快车的第7天，今天是周五，几乎是扫了一天的马路#网约车司机接单日常 #网约车流水分享 #网约车司机#跑滴滴收入稳稳到手,#真实生活记录 80后在苏州只跑滴滴快车的第7天，今天是周五，几乎是扫了一天的马路#网约车司机接单日常 #网约车流水分享 #网约车司机#跑滴滴收入稳稳到手,6,0,0,0,2026-06-26 20:42:48
7656686366512392585,开心、,https://www.douyin.com/video/7656686366512392585,在温州跑滴滴快车、一天有多少流水,在温州跑滴滴快车、一天有多少流水？ #滴滴 #滴滴司机 #网约车 #温州网约车 #温州滴滴司机,1,0,1,1,2026-06-29 18:00:11
7656621166946464421,亳州滴滴—砚辞,https://www.douyin.com/video/7656621166946464421,滴滴快车车主六大服务标准 一、接驾不取消，车主要做到两及时一禁止，1.及时接驾 接单后，按照导航指引尽快前往出发地接乘客，避免乘客因等太久取消订单,"滴滴快车车主六大服务标准
一、接驾不取消，车主要做到两及时一禁止，1.及时接驾
接单后，按照导航指引尽快前往出发地接乘客，避免乘客因等太久取消订单。切勿将车停靠在非指定地点诱导乘客找车。2.及时联系，接驾途中，遇到堵车、迟到、找不到接驾点等异常情况，请及时联系乘客主动沟通，避免乘客因等太久取消订单。3.禁止诱导乘客取消，禁止随意取消订单或以各种理由诱导乘客取消订单。",2,0,0,0,2026-06-29 09:20:35
7655374134826582182,@陈大  （现代版的骆驼祥子）,https://www.douyin.com/video/7655374134826582182,一个早高峰就挣了一百多了… 跑车又发不了财，把身体养好才是硬道理…#成都网约车现状 #滴滴司机 #网约车经验交流 #在成都跑滴滴,一个早高峰就挣了一百多了… 跑车又发不了财，把身体养好才是硬道理…#成都网约车现状 #滴滴司机 #网约车经验交流 #在成都跑滴滴,45,1,21,4,2026-06-26 00:41:28
