发布时间,笔记标题,笔记链接,笔记内容,点赞量,收藏量,评论量,分享量,互动量,博主昵称,概括,内容类型,正负向,业务线,渠道类型,具体产品/场景,笔记ID,是否剔除,是否剔除.输出结果
2026/3/9,遇到的滴滴司机是残障人士,https://www.xiaohongshu.com/explore/69aed3b3000000000d00b321?xsec_token=ABahDZd6U7F2gKY1ZKZmEoQRYXQFliDE-VtoFe-FHXsrs=,"车内环境很好，比某些BYD滴滴臭车好多了
用手势比“OK”确认信息
到达目的地会挥手再见

年纪不大，虽然听不见，但是自己出来赚钱
他顶天立地而平凡普通

#残障人士就业[话题]#
#网约车[话题]#
#滴滴[话题]#",1,0,2,0,3,😇,一位听不见的年轻网约车司机，车内环境好，用手势沟通并会挥手再见，他平凡却顶天立地地自己出来赚钱。,司机,正向,网约车,小红书,特殊身份-听障司机,69aed3b3000000000d00b321,,
2026/3/9,滴滴司机的时间观念有多强？,https://www.xiaohongshu.com/explore/69aea17c000000002800ba14?xsec_token=ABahDZd6U7F2gKY1ZKZmEoQYlfloqrkvDxoT0H3MDSiuE=,"如题，打车打多了之后发现，大部分滴滴司机都忍受不了堵车，堵车对他们来说是单位时间收益变低的情况？还是影响了他们剩余的可劳动时间？

如果是前者，为什么有些滴滴司机不紧不慢甚至像是故意拖时间，有些确是“啧声连天”、躁动不安

以大部分滴滴司机对堵车的焦躁心态来看，他们日常的时间观念是不是也非常强？车以外的时间也想争分夺秒？",1,0,23,0,24,我是阿咩,作者发现多数滴滴司机对堵车感到焦躁，疑惑其原因是单位时间收益变低还是影响剩余可劳动时间，同时不解为何司机对堵车态度有差异，并猜测他们日常时间观念是否也很强。,司机,中性,网约车,小红书,无匹配类别,69aea17c000000002800ba14,,
2026/3/9,滴滴司机要求多付钱把我赶下车,https://www.xiaohongshu.com/explore/69ae7ee5000000001a01fcba?xsec_token=ABahDZd6U7F2gKY1ZKZmEoQZ4p4kHy4OhXtBVrDcVZ2TY=,#滴滴打车[话题]# #司机[话题]# #素质差的人[话题]# 看到一个同学要上车了 我就问他能不能拼车 结果被司机听到了 于是…,0,0,79,0,79,小陈,一位用户在滴滴打车时询问同学能否拼车被司机听到。,司机行为投诉,中性,拼车,小红书,强行拼客/绕路,69ae7ee5000000001a01fcba,,
2026/3/10,避雷滴滴数科还有滴滴打车，纯恶心人来的，在钱包界面说申请一次...,https://www.xiaohongshu.com/explore/69af7f13000000001b01f600?xsec_token=ABcOPnb0grNW1USjMZaatAj9ou2JM84CTyEcwpkfCpqRc=,"避雷滴滴数科还有滴滴打车，纯恶心人来的，在钱包界面说申请一次借款可以让零钱余额增加66元，结果申请成功，不发放奖励，说不是从活动界面进入，不给奖励，给什么打车券替代，真的搞笑，纯玩不起，我不是从这入口进入申请的，我会知道这个活动吗，一点脑子都不带，纯骗人借款，目前借款已还，申请注销
#滴滴[话题]# #滴滴出行[话题]# #滴滴快车[话题]##滴滴数科[话题]# #滴滴司机[话题]#",0,0,1,0,1,小红薯62ECD558,用户投诉滴滴数科和滴滴打车在钱包界面宣传借款可获66元零钱奖励，申请成功后却以非活动界面进入为由不发放奖励，仅给打车券替代，认为其骗人借款，已还款并申请注销。,平台客服投诉,负向,快车,小红书,无匹配类别,69af7f13000000001b01f600,,
2026/3/9,为什么滴滴司机不喜欢接远距离拼车单？,https://www.xiaohongshu.com/explore/69ae38c4000000002801fb37?xsec_token=ABahDZd6U7F2gKY1ZKZmEoQY7009LjzrfQ-pjfrFtp3IE=,"已经连续两次了。不同城市🌆
我们是两个人，一次是跨城大概是45公里左右，平台优先派了拼车单，司机接单到后，直接说不接拼车让我取消，要走就按快车费用记价，但问后费用略高，因为我们时间充裕想重新打车，我直接取消后付了平台3元。很快平台又优先派了拼车单[捂脸R]因怕又取消浪费时间，提前跟司机电话沟通后，顺利抵达；第二次是去高铁站，大概20多公里，平台又优先派了拼车单，司机到后非常不高兴的问我去车站怎么打拼🚗单，我说我也选了快车，但平台优先派了拼车，而且我们时间充裕不急，但他非常不悦的一路牢骚[汗颜R]
我就想知道，这种乘客都没怨言，也不急也没催他们，他们怎么那么不乐意的一肚牢骚[笑哭R]#网约车[话题]# #拼车[话题]# #出行交通方式[话题]#",1,0,63,0,64,九號精靈,用户两次跨城或去高铁站时，平台优先派拼车单，司机接单后要么要求取消按快车计价，要么一路牢骚，用户不解司机为何不乐意。,司机行为投诉,负向,拼车,小红书,拼车,69ae38c4000000002801fb37,,
2026/3/9,订单取消后如何付钱给司机,https://www.xiaohongshu.com/explore/69ae1f050000000028009c37?xsec_token=ABahDZd6U7F2gKY1ZKZmEoQbV8TQ25I4Do_y0Jm_cn0Io=,"滴滴快车，行程完成了，但是司机可能不小心按了取消，无法支付。问了客服他们也没办法，不能提供司机联系方式。还打回了司机之前联系我的电话，说行程结束以后不能联系对方。
我是真的很想付钱[失望R]
#滴滴[话题]#",0,0,2,0,2,我不转弯,用户因司机误操作取消行程导致无法支付，联系客服和尝试回电司机均未解决问题，表达了想付钱的意愿。,平台客服投诉,中性,快车,小红书,系统/派单问题,69ae1f050000000028009c37,,
2026/3/9,嫌弃狗干什么宠物专车,https://www.xiaohongshu.com/explore/69ae5096000000002801f06a?xsec_token=ABahDZd6U7F2gKY1ZKZmEoQbJJw5yhUYTya1KWs_x5i1Q=,"一上车就开始审问模式
得知我的狗刚洗完澡 刚上完厕所
又开始问它掉不掉毛 开始嫌弃掉毛的狗
你嫌弃这个嫌弃那个 你干什么宠物专车？
又想赚养宠人的钱
又嫌弃宠物
干你**的宠物专车
已差评 已拉黑该司机
#宠物专车[话题]# #司机[话题]# #滴滴打车[话题]#",11,0,7,0,18,剪刀手爱德华的债,用户因宠物专车司机嫌弃宠物掉毛，认为其既想赚养宠人钱又嫌弃宠物，故给予差评并拉黑司机。,司机行为投诉,负向,宠物出行,小红书,宠物出行,69ae5096000000002801f06a,,
2026/3/9,滴滴的宠物专车不如不设,https://www.xiaohongshu.com/explore/69ae1c77000000002203aad0?xsec_token=ABahDZd6U7F2gKY1ZKZmEoQb6Dp2365MEaP-UJY4JU57k=,"真的挺搞笑的，一个服务行业，站着就想把钱赚了，还要辱骂顾客。
打宠物专车的意义是什么？？我们付出两倍三倍甚至更多的车费，就是为了宠物能够舒服点，上来就是让你主人抱着，要么放座位底下一动不许动，太离谱了。
你又想赚宠物的钱，又各种挑着挑那儿，提各种要求，你是顾客还是我是？？想赚我的钱还要给我提要求？？宠物专车接不了就别接，别他妈接了各种要求我干什么，我付出更多的车费，让你挑上了？？#带宠物坐车[话题]# #宠物专车[话题]#",44,0,20,0,64,榴莲啵啵,用户抱怨宠物专车服务差，收取高价却要求宠物被抱着或放座位底下不能动，认为服务方既想赚钱又对顾客提不合理要求。,司机行为投诉,负向,宠物出行,小红书,宠物出行,69ae1c77000000002203aad0,,
2026/3/9,滴滴可以禁止臭车接客吗？,https://www.xiaohongshu.com/explore/69ada828000000002202310b?xsec_token=ABXhk24rjMe1jIKbJRi8EmtaQv3q0BwJMoatwbF_eiv0E=,"今天和朋友出来玩打了辆车 一上车特别臭我就和朋友抱怨了句好臭 男司机一秒破防说让我们换一辆 因为车是我朋友打的而且当时很难打到车也没办法 之后男司机就说你们去打专车啊 打一块三一公里的车就受着呗 普通车我也是花钱了的吧 免费给我坐我当然不会说什么 我花了钱，可能不多但也不是免费 我为什么不能说 @滴滴 所以打到臭车是消费者的错吗 无论是普通车还是专车 消费者都有权享受到干净无异味的车吧 男司机还特别理直气壮 仿佛打了普通车就活该闻臭味 我一直以为专车是赢在服务上 没想到在气味上也有不同吗[捂嘴笑R] 平台可以好好看看用户对司机的评价 差评多的直接禁止接单行吗 我花一块钱也是顾客 司机就是服务业 拽得二五八万得是在干什么？ 还有我只能说 不爱干净的人你就算平台抽成少 他赚得多也不会去爱干净 车该怎么臭还是怎么臭 你不去要求他 他永远都是抱着无所谓的态度 所以臭车的存在和平台抽成高有关系 但是也不完全是抽成的问题 还有平台监管不严 对消费者反馈的无所谓不作为 而且我想说 督促大家爱干净也不只是利及顾客吧 待在干净的环境里司机也会身心愉悦 驾驶也会更加安全 老是待在脏臭还有二手烟三手烟环境里对身体健康肯定是不利的 损人不利己的事没必要 打扫车子搞干净卫生 自己身体健康顾客好评也多 利人利己一举两得
还有一直给我评论能不能拒载臭客的 1我不是臭客 所以我不会破防 你无需使用这种无意义的换位思考来反驳我所说的禁止臭车 2我支持拒载臭客 防止臭客将香车污染 3我建议平台实行双向打分 顾客和司机相互打分 保护顾客也保护司机 参考uber
说打专车的 你以为打专车就不臭了吗…
都在共情臭车司机 谁来共情我这个三娃宝妈 我孩子长得很可爱吧 孩子们都还小 孩子爸还在军队里 照顾孩子都靠我一个人 三个孩子要养我哪里舍得打专车哟！我被这个臭车臭得都没办法照顾孩子们哟 我好心疼孩子们啊！
别发完评论就把我拉黑呀！这样显得你特破防 是不是嫉妒我有三个孩子！
#网约车[话题]# #滴滴[话题]# #吐槽[话题]# #宝妈[话题]# #带娃[话题]#",32,1,136,0,169,一粒^,用户吐槽乘坐滴滴普通车时遭遇车内异味，认为平台应加强监管以保障消费者享受干净无异味车辆的权利，同时提及自己作为三娃宝妈的不易以及对平台双向打分等机制的建议。,车内环境投诉,负向,网约车,小红书,烟味/异味,69ada828000000002202310b,,
2026/3/10,今天打车上班,https://www.xiaohongshu.com/explore/69af7c040000000022022bfa?xsec_token=ABcOPnb0grNW1USjMZaatAj7rGkgq2C77ESfKCNk5AL2I=,今天不开车 我们打个宠物友好滴滴 还是老位置 这个司机大哥特别热情 还招呼我坐副驾驶 开心#小狗🐶[话题]# #小裙子[话题]# #小狗穿搭[话题]# #雪纳瑞[话题]##狗狗上班[话题]#,1,0,0,0,1,每天上班的拉布布,今天不开车，和小狗一起打宠物友好滴滴去老位置，司机大哥很热情还让我坐副驾驶，很开心。,场景,正向,宠物出行,小红书,宠物出行,69af7c040000000022022bfa,,
